Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
2099,Wakehurst,2785,6102,6814,0.456407735,0.408717347
2100,Manly,260,1689,12887,0.153937241,0.020175371
2100,Wakehurst,1429,1689,6814,0.846062759,0.209715292
2101,Pittwater,1961,2018,5388,0.971754212,0.363956941
2101,Wakehurst,57,2018,6814,0.028245788,0.008365131
2102,Pittwater,488,488,5388,1,0.090571641
2103,Pittwater,879,879,5388,1,0.163140312
2104,Pittwater,112,112,5388,1,0.020786934
2105,Pittwater,68,68,5388,1,0.012620638
2106,Pittwater,827,827,5388,1,0.153489235
2107,Pittwater,744,744,5388,1,0.138084633
2108,Pittwater,120,120,5388,1,0.022271715
2110,Lane Cove,672,672,10886,1,0.061730663
2111,Lane Cove,2251,2251,10886,1,0.20677935
2112,Lane Cove,1207,5920,10886,0.203885135,0.110876355
2112,Ryde,4713,5920,17598,0.796114865,0.267814524
2113,Lane Cove,1342,5151,10886,0.260531936,0.123277604
2113,Ryde,3809,5151,17598,0.739468064,0.216445051
2114,Parramatta,121,4158,26901,0.029100529,0.004497974
2114,Ryde,4037,4158,17598,0.970899471,0.229401068
2115,Parramatta,1847,1847,26901,1,0.068659158
2116,Parramatta,1061,1061,26901,1,0.039440913
2117,Epping,2311,2754,10257,0.839143065,0.225309545
2117,Parramatta,443,2754,26901,0.160856935,0.016467789
2118,Epping,2843,2987,10257,0.951791095,0.277176562
2118,Ryde,144,2987,17598,0.048208905,0.008182748
2119,Epping,648,648,10257,1,0.063176367
2120,Epping,9,1415,10257,0.006360424,0.00087745
2120,Hornsby,93,1415,6643,0.065724382,0.013999699
2120,Wahroonga,1313,1415,7185,0.927915194,0.182741823
2121,Epping,3956,4529,10257,0.873482005,0.385687823
2121,Ryde,573,4529,17598,0.126517995,0.032560518
2122,Ryde,4322,4322,17598,1,0.24559609
2125,Castle Hill,443,646,5850,0.685758514,0.075726496
2125,Hornsby,203,646,6643,0.314241486,0.030558483
2126,Hornsby,883,883,6643,1,0.132921873
2127,Parramatta,5674,5674,26901,1,0.210921527
2128,Parramatta,388,388,26901,1,0.014423256
2130,Summer Hill,1549,1549,14347,1,0.107966822
2131,Strathfield,321,4715,17365,0.068080594,0.018485459
2131,Summer Hill,4394,4715,14347,0.931919406,0.306266118
2132,Strathfield,1098,1098,17365,1,0.063230636
2133,Strathfield,1205,1275,17365,0.945098039,0.069392456
2133,Summer Hill,70,1275,14347,0.054901961,0.004879069
2134,Strathfield,4015,4015,17365,1,0.231212208
2135,Strathfield,3807,3807,17365,1,0.219234092
2136,Strathfield,911,911,17365,1,0.052461849
2137,Drummoyne,3373,3373,12670,1,0.266219416
2138,Drummoyne,3796,3796,12670,1,0.299605367
2140,Drummoyne,127,4492,12670,0.028272484,0.010023678
2140,Strathfield,4365,4492,17365,0.971727516,0.251367694
2141,Auburn,3958,4548,13807,0.870272647,0.286666184
2141,Parramatta,590,4548,26901,0.129727353,0.02193227
2142,Granville,2558,5019,15889,0.50966328,0.160991881
2142,Parramatta,2461,5019,26901,0.49033672,0.091483588
2143,Auburn,1194,1194,13807,1,0.086477874
2144,Auburn,5510,5510,13807,1,0.399072934
2145,Granville,3446,11993,15889,0.287334278,0.216879602
2145,Parramatta,2352,11993,26901,0.1961144,0.087431694
2145,Prospect,4911,11993,9778,0.409488869,0.502249949
2145,Winston Hills,1284,11993,9418,0.107062453,0.136334678
2146,Prospect,1121,2101,9778,0.53355545,0.114645122
2146,Winston Hills,980,2101,9418,0.46644455,0.104056063
2147,Prospect,1429,4020,9778,0.355472637,0.146144406
2147,Winston Hills,2591,4020,9418,0.644527363,0.275111489
2148,Blacktown,7123,8915,11215,0.798990466,0.63513152
2148,Prospect,484,8915,9778,0.054290522,0.049498875
2148,Winston Hills,1308,8915,9418,0.146719013,0.13888299
2150,Granville,222,9661,15889,0.022978988,0.01397193
2150,Parramatta,9439,9661,26901,0.977021012,0.350879149
2151,Epping,490,3246,10257,0.150955022,0.047772253
2151,Parramatta,2525,3246,26901,0.777880468,0.093862682
2151,Winston Hills,231,3246,9418,0.07116451,0.024527501
2152,Winston Hills,1408,1408,9418,1,0.149500956
2153,Castle Hill,2099,4302,5850,0.487912599,0.358803419
2153,Kellyville,1465,4302,5755,0.340539284,0.254561251
2153,Winston Hills,738,4302,9418,0.171548117,0.078360586
2154,Castle Hill,2827,3051,5850,0.926581449,0.483247863
2154,Kellyville,224,3051,5755,0.073418551,0.038922676
2155,Hawkesbury,6,5624,6404,0.001066856,0.000936914
2155,Kellyville,4066,5624,5755,0.722972973,0.706516073
2155,Riverstone,1552,5624,9272,0.275960171,0.167385677
2156,Castle Hill,326,335,5850,0.973134328,0.055726496
2156,Hornsby,9,335,6643,0.026865672,0.00135481
2157,Hawkesbury,95,176,6404,0.539772727,0.014834478
2157,Hornsby,81,176,6643,0.460227273,0.012193286
2158,Castle Hill,155,405,5850,0.382716049,0.026495726
2158,Hornsby,250,405,6643,0.617283951,0.037633599
2159,Hornsby,211,211,6643,1,0.031762758
2160,Granville,5615,5615,15889,1,0.353389137
2161,Fairfield,513,4360,12516,0.11766055,0.040987536
2161,Granville,3847,4360,15889,0.88233945,0.242117188
2162,Auburn,1540,2218,13807,0.694319206,0.111537626
2162,Fairfield,585,2218,12516,0.263751127,0.046740173
2162,Granville,93,2218,15889,0.041929666,0.005853106
2163,Fairfield,1717,1717,12516,1,0.137184404
2164,Fairfield,875,2367,12516,0.369666244,0.069910515
2164,Granville,108,2367,15889,0.045627376,0.006797155
2164,Prospect,1384,2367,9778,0.584706379,0.141542238
2165,Fairfield,6395,6497,12516,0.984300446,0.510945989
2165,Prospect,102,6497,9778,0.015699554,0.010431581
2166,Cabramatta,5133,6662,9899,0.770489343,0.518537226
2166,Fairfield,1529,6662,12516,0.229510657,0.122163631
2167,Macquarie Fields,1094,1094,9495,1,0.115218536
2168,Leppington,132,5137,5593,0.025695931,0.02360093
2168,Liverpool,5005,5137,12415,0.974304069,0.403141361
2170,Cabramatta,841,14749,9899,0.057020815,0.084958077
2170,Holsworthy,6284,14749,8222,0.426062784,0.764290927
2170,Leppington,600,14749,5593,0.040680724,0.107276953
2170,Liverpool,6201,14749,12415,0.420435284,0.49947644
2170,Macquarie Fields,823,14749,9495,0.055800393,0.086677199
2171,Leppington,1604,2008,5593,0.798804781,0.286787055
2171,Liverpool,404,2008,12415,0.201195219,0.032541281
2172,Holsworthy,143,143,8222,1,0.017392362
2173,Holsworthy,1330,1330,8222,1,0.161761129
2174,Macquarie Fields,1074,1074,9495,1,0.113112164
2175,Badgerys Creek,89,89,6448,1,0.01380273
2176,Cabramatta,3069,3775,9899,0.812980132,0.310031316
2176,Fairfield,364,3775,12516,0.096423841,0.029082774
2176,Prospect,342,3775,9778,0.090596026,0.034976478
2177,Cabramatta,856,1661,9899,0.515352197,0.086473381
2177,Liverpool,805,1661,12415,0.484647803,0.064840918
2178,Badgerys Creek,87,226,6448,0.384955752,0.013492556
2178,Leppington,139,226,5593,0.615044248,0.024852494
2179,Leppington,1258,1258,5593,1,0.224924012
2190,Bankstown,2429,2429,12275,1,0.197881874
2191,Strathfield,667,667,17365,1,0.038410596
2192,Canterbury,2064,2064,13972,1,0.147724019
2193,Canterbury,1751,2523,13972,0.694015061,0.125322073
2193,Strathfield,3,2523,17365,0.001189061,0.000172761
2193,Summer Hill,769,2523,14347,0.304795878,0.053600056
2194,Canterbury,3846,4819,13972,0.79809089,0.275264815
2194,Strathfield,973,4819,17365,0.20190911,0.056032249
2195,Bankstown,1011,4578,12275,0.220838794,0.082362525
2195,Canterbury,3567,4578,13972,0.779161206,0.255296307
2196,Bankstown,2779,3561,12275,0.780398764,0.226395112
2196,Canterbury,782,3561,13972,0.219601236,0.055969081
2197,Auburn,497,915,13807,0.543169399,0.035996234
2197,East Hills,78,915,8060,0.085245902,0.009677419
2197,Fairfield,340,915,12516,0.371584699,0.027165229
2198,East Hills,332,530,8060,0.626415094,0.041191067
2198,Fairfield,198,530,12516,0.373584906,0.015819751
2199,Auburn,1108,2150,13807,0.515348837,0.080249149
2199,Bankstown,436,2150,12275,0.202790698,0.035519348
2199,East Hills,606,2150,8060,0.281860465,0.075186104
2200,Bankstown,5396,6581,12275,0.81993618,0.439592668
2200,East Hills,1185,6581,8060,0.18006382,0.147022333
2203,Newtown,33,2786,20698,0.011844939,0.001594357
2203,Summer Hill,2753,2786,14347,0.988155061,0.191886806
2204,Newtown,592,4988,20698,0.118684844,0.028601797
2204,Summer Hill,4396,4988,14347,0.881315156,0.30640552
2205,Rockdale,4945,4945,13783,1,0.358775303
2206,Canterbury,1408,1408,13972,1,0.100772975
2207,Kogarah,1793,2384,12900,0.752097315,0.138992248
2207,Rockdale,591,2384,13783,0.247902685,0.042878909
2208,Canterbury,498,1116,13972,0.446236559,0.035642714
2208,Kogarah,618,1116,12900,0.553763441,0.047906977
2209,Bankstown,98,1915,12275,0.051174935,0.007983707
2209,Canterbury,56,1915,13972,0.02924282,0.004008016
2209,Kogarah,301,1915,12900,0.157180157,0.023333333
2209,Oatley,1460,1915,9660,0.762402089,0.151138716
2210,Bankstown,126,4026,12275,0.031296572,0.010264766
2210,Oatley,3900,4026,9660,0.968703428,0.403726708
2211,East Hills,1736,1736,8060,1,0.215384615
