Row Number,Suburb Code 2021,Suburb,State,Postcode,Postcode Area (sq km),Suburb Area (sq km)
"2,443",10949,Cobar Park,New South Wales,2790,2481.3231,0.8246
"2,444",10950,Cobargo,New South Wales,2546,911.2673,104.0336
"2,445",10950,Cobargo,New South Wales,2550,3966.6591,104.0336
"2,446",10951,Cobark,New South Wales,2422,3212.5916,140.3742
"2,447",10952,Cobbadah,New South Wales,2347,3035.4851,275.4838
"2,448",10952,Cobbadah,New South Wales,2404,1992.4546,275.4838
"2,449",10953,Cobbitty,New South Wales,2556,40.2134,52.1638
"2,450",10953,Cobbitty,New South Wales,2567,31.1557,52.1638
"2,451",10953,Cobbitty,New South Wales,2570,469.0775,52.1638
"2,452",10953,Cobbitty,New South Wales,2745,168.7608,52.1638
"2,453",10954,Cobbora,New South Wales,2844,1821.5658,1.821
"2,454",10955,Cobramunga,New South Wales,2732,1849.8263,104.5696
"2,455",10955,Cobramunga,New South Wales,2734,1755.2448,104.5696
"2,456",10956,Cockwhy,New South Wales,2536,974.8377,41.6858
"2,457",10956,Cockwhy,New South Wales,2538,390.494,41.6858
"2,458",10956,Cockwhy,New South Wales,2539,686.0289,41.6858
"2,459",10957,Codrington (NSW),New South Wales,2471,442.1506,19.255
"2,460",10957,Codrington (NSW),New South Wales,2480,1369.4565,19.255
"2,461",10958,Coffee Camp,New South Wales,2480,1369.4565,21.1881
"2,462",10959,Coffs Harbour,New South Wales,2450,1019.718,46.046
"2,463",10959,Coffs Harbour,New South Wales,2452,12.7764,46.046
"2,464",10960,Coggan,New South Wales,2329,3056.2045,33.5478
"2,465",10960,Coggan,New South Wales,2849,2801.0405,33.5478
"2,466",10960,Coggan,New South Wales,2850,6005.3758,33.5478
"2,467",10961,Cogra Bay,New South Wales,2083,45.774,0.566
"2,468",10961,Cogra Bay,New South Wales,2256,72.7648,0.566
"2,469",10962,Coila,New South Wales,2537,1167.0234,8.6673
"2,470",10963,Coldstream (NSW),New South Wales,2460,6630.3495,11.0587
"2,471",10963,Coldstream (NSW),New South Wales,2462,470.532,11.0587
"2,472",10964,Coleambally,New South Wales,2700,3016.2983,1865.2193
"2,473",10964,Coleambally,New South Wales,2706,725.4016,1865.2193
"2,474",10964,Coleambally,New South Wales,2707,2112.3439,1865.2193
"2,475",10964,Coleambally,New South Wales,2711,24180.255,1865.2193
"2,476",10964,Coleambally,New South Wales,2716,2861.8271,1865.2193
"2,477",10965,Colebee,New South Wales,2761,14.7648,3.4761
"2,478",10965,Colebee,New South Wales,2762,12.5171,3.4761
"2,479",10965,Colebee,New South Wales,2763,13.0157,3.4761
"2,480",10965,Colebee,New South Wales,2765,127.5271,3.4761
"2,481",10966,Coledale,New South Wales,2508,162.241,2.0988
"2,482",10966,Coledale,New South Wales,2515,14.2268,2.0988
"2,483",10967,Colinroobie,New South Wales,2652,6116.1137,296.1166
"2,484",10967,Colinroobie,New South Wales,2665,4109.6274,296.1166
"2,485",10967,Colinroobie,New South Wales,2700,3016.2983,296.1166
"2,486",10967,Colinroobie,New South Wales,2705,1129.1529,296.1166
"2,487",10968,Colinton (NSW),New South Wales,2620,2869.8201,86.8894
"2,488",10968,Colinton (NSW),New South Wales,2626,383.5704,86.8894
"2,489",10968,Colinton (NSW),New South Wales,2630,4206.3548,86.8894
"2,490",10969,Collarenebri,New South Wales,2387,1388.5196,5044.6803
"2,491",10969,Collarenebri,New South Wales,2400,7569.0088,5044.6803
"2,492",10969,Collarenebri,New South Wales,2406,3283.9561,5044.6803
"2,493",10969,Collarenebri,New South Wales,2832,9695.0643,5044.6803
"2,494",10969,Collarenebri,New South Wales,2833,5044.6803,5044.6803
"2,495",10969,Collarenebri,New South Wales,2834,2828.007,5044.6803
"2,496",10970,Collaroy (NSW),New South Wales,2097,4.7508,2.6786
"2,497",10970,Collaroy (NSW),New South Wales,2099,18.7149,2.6786
"2,498",10970,Collaroy (NSW),New South Wales,2101,26.6694,2.6786
"2,499",10971,Collaroy Plateau,New South Wales,2097,4.7508,1.2202
"2,500",10971,Collaroy Plateau,New South Wales,2099,18.7149,1.2202
"2,501",10971,Collaroy Plateau,New South Wales,2101,26.6694,1.2202
"2,502",10972,Collector,New South Wales,2580,5512.6655,112.6961
"2,503",10972,Collector,New South Wales,2581,2106.6075,112.6961
"2,504",10972,Collector,New South Wales,2620,2869.8201,112.6961
"2,505",10973,Collendina,New South Wales,2646,2895.4549,175.4241
"2,506",10973,Collendina,New South Wales,2647,357.3501,175.4241
"2,507",10974,Collerina,New South Wales,2839,12282.839,1588.8965
"2,508",10974,Collerina,New South Wales,2840,62474.6022,1588.8965
"2,509",10975,Collie (NSW),New South Wales,2823,2782.3577,719.174
"2,510",10975,Collie (NSW),New South Wales,2824,4843.6,719.174
"2,511",10975,Collie (NSW),New South Wales,2827,2964.6885,719.174
"2,512",10975,Collie (NSW),New South Wales,2830,3017.4938,719.174
"2,513",10976,Collingullie,New South Wales,2650,4061.238,147.3754
"2,514",10976,Collingullie,New South Wales,2652,6116.1137,147.3754
"2,515",10976,Collingullie,New South Wales,2655,427.2763,147.3754
"2,516",10976,Collingullie,New South Wales,2656,1497.1368,147.3754
"2,517",10977,Collingwood (NSW),New South Wales,2850,6005.3758,19.7565
"2,518",10978,Collins Creek,New South Wales,2474,1537.5939,34.0132
"2,519",10979,Collombatti,New South Wales,2440,3604.2396,199.9891
"2,520",10979,Collombatti,New South Wales,2441,992.7849,199.9891
"2,521",10979,Collombatti,New South Wales,2447,566.6442,199.9891
"2,522",10980,Collum Collum,New South Wales,2460,6630.3495,48.1057
"2,523",10981,Colly Blue,New South Wales,2343,3352.8926,42.925
"2,524",10982,Colo (Bathurst Regional - NSW),New South Wales,2795,5307.5248,60.8173
"2,525",10982,Colo (Bathurst Regional - NSW),New South Wales,2799,630.7998,60.8173
"2,526",10983,Colo (Hawkesbury - NSW),New South Wales,2756,1486.8709,6.9034
"2,527",10983,Colo (Hawkesbury - NSW),New South Wales,2758,572.1443,6.9034
"2,528",10984,Colo Heights,New South Wales,2756,1486.8709,524.0839
"2,529",10984,Colo Heights,New South Wales,2758,572.1443,524.0839
"2,530",10984,Colo Heights,New South Wales,2775,833.1402,524.0839
"2,531",10984,Colo Heights,New South Wales,2790,2481.3231,524.0839
"2,532",10984,Colo Heights,New South Wales,2849,2801.0405,524.0839
"2,533",10985,Colo Vale,New South Wales,2575,981.4743,65.7421
"2,534",10986,Colongra,New South Wales,2259,524.7348,7.8931
"2,535",10986,Colongra,New South Wales,2262,33.7717,7.8931
"2,536",10987,Colyton,New South Wales,2759,15.5979,3.3644
"2,537",10987,Colyton,New South Wales,2760,19.9308,3.3644
"2,538",10987,Colyton,New South Wales,2766,27.2383,3.3644
"2,539",10987,Colyton,New South Wales,2770,24.7303,3.3644
"2,540",10988,Comara,New South Wales,2350,4543.2274,456.8105
"2,541",10988,Comara,New South Wales,2354,7142.1491,456.8105
"2,542",10988,Comara,New South Wales,2440,3604.2396,456.8105
"2,543",10988,Comara,New South Wales,2449,570.7344,456.8105
"2,544",10988,Comara,New South Wales,2453,2157.9951,456.8105
"2,545",10988,Comara,New South Wales,2454,975.6046,456.8105
"2,546",10989,Combaning,New South Wales,2666,2462.5855,171.8468
"2,547",10990,Combara,New South Wales,2828,2375.64,282.6539
"2,548",10990,Combara,New South Wales,2829,6318.8294,282.6539
"2,549",10991,Comberton,New South Wales,2540,1900.6655,60.8564
"2,550",10991,Comberton,New South Wales,2541,45.432,60.8564
"2,551",10992,Comboyne,New South Wales,2429,1799.9008,100.1746
"2,552",10992,Comboyne,New South Wales,2430,843.4816,100.1746
"2,553",10992,Comboyne,New South Wales,2439,362.4229,100.1746
"2,554",10992,Comboyne,New South Wales,2446,2233.1607,100.1746
"2,555",10993,Come By Chance,New South Wales,2388,6699.0871,761.9641
"2,556",10993,Come By Chance,New South Wales,2829,6318.8294,761.9641
"2,557",10993,Come By Chance,New South Wales,2832,9695.0643,761.9641
"2,558",10994,Comerong Island,New South Wales,2535,247.9753,14.0287
"2,559",10994,Comerong Island,New South Wales,2540,1900.6655,14.0287
"2,560",10995,Commissioners Creek,New South Wales,2482,180.2681,13.6112
"2,561",10995,Commissioners Creek,New South Wales,2484,972.2983,13.6112
"2,562",10996,Como (NSW),New South Wales,2225,2.1022,1.5975
"2,563",10996,Como (NSW),New South Wales,2226,5.2222,1.5975
"2,564",10997,Comobella,New South Wales,2818,471.7655,117.3737
"2,565",10997,Comobella,New South Wales,2820,2438.751,117.3737
"2,566",10998,Conargo,New South Wales,2710,10466.1631,850.2739
"2,567",10999,Concord,New South Wales,2046,6.0148,5.0575
"2,568",10999,Concord,New South Wales,2134,2.4456,5.0575
"2,569",10999,Concord,New South Wales,2135,6.5375,5.0575
"2,570",10999,Concord,New South Wales,2137,7.3557,5.0575
"2,571",10999,Concord,New South Wales,2138,3.7811,5.0575
"2,572",11000,Concord West,New South Wales,2127,8.1408,2.5424
"2,573",11000,Concord West,New South Wales,2137,7.3557,2.5424
"2,574",11000,Concord West,New South Wales,2138,3.7811,2.5424
"2,575",11000,Concord West,New South Wales,2140,3.7487,2.5424
"2,576",11001,Condell Park,New South Wales,2198,3.3233,3.8948
"2,577",11001,Condell Park,New South Wales,2199,4.6181,3.8948
"2,578",11001,Condell Park,New South Wales,2200,13.9792,3.8948
"2,579",11001,Condell Park,New South Wales,2212,6.4088,3.8948
"2,580",11002,Condobolin,New South Wales,2669,6295.346,4966.8539
"2,581",11002,Condobolin,New South Wales,2671,3297.7351,4966.8539
"2,582",11002,Condobolin,New South Wales,2871,3837.8532,4966.8539
"2,583",11002,Condobolin,New South Wales,2873,3202.9936,4966.8539
"2,584",11002,Condobolin,New South Wales,2875,2311.0022,4966.8539
"2,585",11002,Condobolin,New South Wales,2877,15332.1603,4966.8539
"2,586",11003,Condong,New South Wales,2484,972.2983,3.8188
"2,587",11004,Coneac,New South Wales,2422,3212.5916,45.1331
"2,588",11005,Congarinni,New South Wales,2441,992.7849,31.208
"2,589",11005,Congarinni,New South Wales,2447,566.6442,31.208
"2,590",11006,Congarinni North,New South Wales,2447,566.6442,31.4539
"2,591",11006,Congarinni North,New South Wales,2449,570.7344,31.4539
"2,592",11007,Congewai,New South Wales,2325,1605.0648,67.1767
"2,593",11008,Congo,New South Wales,2537,1167.0234,10.1192
"2,594",11009,Conimbia,New South Wales,2829,6318.8294,583.4854
"2,595",11009,Conimbia,New South Wales,2831,22389.3649,583.4854
"2,596",11010,Coniston,New South Wales,2500,27.1582,1.0614
"2,597",11010,Coniston,New South Wales,2505,13.8266,1.0614
"2,598",11011,Conjola,New South Wales,2539,686.0289,42.5857
"2,599",11011,Conjola,New South Wales,2540,1900.6655,42.5857
"2,600",11012,Conjola Park,New South Wales,2539,686.0289,2.8985
"2,601",11013,Connells Point,New South Wales,2220,5.144,1.0348
"2,602",11013,Connells Point,New South Wales,2221,5.3796,1.0348
"2,603",11014,Constitution Hill,New South Wales,2145,27.5671,1.1883
"2,604",11014,Constitution Hill,New South Wales,2146,6.0077,1.1883
"2,605",11014,Constitution Hill,New South Wales,2152,4.2857,1.1883
"2,606",11015,Coogee (NSW),New South Wales,2031,6.094,1.9175
"2,607",11015,Coogee (NSW),New South Wales,2034,3.0497,1.9175
"2,608",11016,Cookamidgera,New South Wales,2806,519.6961,180.9691
"2,609",11016,Cookamidgera,New South Wales,2870,2453.9995,180.9691
"2,610",11017,Cookardinia,New South Wales,2644,2157.7365,189.685
"2,611",11017,Cookardinia,New South Wales,2650,4061.238,189.685
"2,612",11017,Cookardinia,New South Wales,2652,6116.1137,189.685
"2,613",11017,Cookardinia,New South Wales,2658,748.0545,189.685
"2,614",11017,Cookardinia,New South Wales,2660,451.2793,189.685
"2,615",11018,Cooks Gap,New South Wales,2850,6005.3758,44.2336
"2,616",11018,Cooks Gap,New South Wales,2852,1240.991,44.2336
"2,617",11019,Cooks Hill,New South Wales,2291,7.1942,0.721
"2,618",11019,Cooks Hill,New South Wales,2300,3.4557,0.721
"2,619",11019,Cooks Hill,New South Wales,2302,0.8095,0.721
"2,620",11019,Cooks Hill,New South Wales,2303,3.0401,0.721
"2,621",11020,Cooks Myalls,New South Wales,2870,2453.9995,171.6637
"2,622",11020,Cooks Myalls,New South Wales,2875,2311.0022,171.6637
"2,623",11020,Cooks Myalls,New South Wales,2876,935.4993,171.6637
"2,624",11021,Coolabah,New South Wales,2831,22389.3649,2571.9468
"2,625",11021,Coolabah,New South Wales,2835,29975.1826,2571.9468
"2,626",11021,Coolabah,New South Wales,2839,12282.839,2571.9468
"2,627",11022,Coolac,New South Wales,2590,1320.4637,334.8221
"2,628",11022,Coolac,New South Wales,2722,1576.1373,334.8221
"2,629",11022,Coolac,New South Wales,2726,160.6689,334.8221
"2,630",11022,Coolac,New South Wales,2727,772.9227,334.8221
"2,631",11023,Coolagolite,New South Wales,2546,911.2673,88.325
"2,632",11023,Coolagolite,New South Wales,2550,3966.6591,88.325
"2,633",11024,Coolah,New South Wales,2329,3056.2045,1590.9154
"2,634",11024,Coolah,New South Wales,2343,3352.8926,1590.9154
"2,635",11024,Coolah,New South Wales,2381,2052.3174,1590.9154
"2,636",11024,Coolah,New South Wales,2395,1113.5695,1590.9154
"2,637",11024,Coolah,New South Wales,2831,22389.3649,1590.9154
"2,638",11024,Coolah,New South Wales,2843,1590.9154,1590.9154
"2,639",11024,Coolah,New South Wales,2844,1821.5658,1590.9154
"2,640",11025,Coolamon,New South Wales,2650,4061.238,297.2249
"2,641",11025,Coolamon,New South Wales,2652,6116.1137,297.2249
"2,642",11025,Coolamon,New South Wales,2701,852.1158,297.2249
"2,643",11025,Coolamon,New South Wales,2702,439.8686,297.2249
"2,644",11026,Coolangatta (NSW),New South Wales,2535,247.9753,13.5213
"2,645",11026,Coolangatta (NSW),New South Wales,2540,1900.6655,13.5213
"2,646",11027,Coolangubra,New South Wales,2550,3966.6591,135.6798
"2,647",11027,Coolangubra,New South Wales,2632,1824.9879,135.6798
"2,648",11028,Coolatai,New South Wales,2360,3385.2978,507.6614
"2,649",11028,Coolatai,New South Wales,2402,1631.0064,507.6614
"2,650",11028,Coolatai,New South Wales,2403,1006.9407,507.6614
"2,651",11028,Coolatai,New South Wales,2408,1561.154,507.6614
"2,652",11028,Coolatai,New South Wales,2410,1530.5927,507.6614
"2,653",11029,Cooleman,New South Wales,2611,1558.6312,65.8102
"2,654",11029,Cooleman,New South Wales,2620,2869.8201,65.8102
"2,655",11029,Cooleman,New South Wales,2629,2054.5144,65.8102
"2,656",11030,Cooleys Creek,New South Wales,2720,2485.6548,5.729
"2,657",11030,Cooleys Creek,New South Wales,2729,933.1202,5.729
"2,658",11031,Coolgardie (NSW),New South Wales,2477,227.642,6.8524
"2,659",11031,Coolgardie (NSW),New South Wales,2478,185.6804,6.8524
"2,660",11032,Coolongolook,New South Wales,2312,181.2071,140.5488
"2,661",11032,Coolongolook,New South Wales,2423,1346.2284,140.5488
"2,662",11032,Coolongolook,New South Wales,2428,320.9401,140.5488
"2,663",11032,Coolongolook,New South Wales,2429,1799.9008,140.5488
"2,664",11033,Coolringdon,New South Wales,2628,2337.0094,108.3277
"2,665",11033,Coolringdon,New South Wales,2630,4206.3548,108.3277
"2,666",11034,Coolumbooka,New South Wales,2550,3966.6591,84.1915
"2,667",11034,Coolumbooka,New South Wales,2632,1824.9879,84.1915
"2,668",11035,Coolumburra,New South Wales,2580,5512.6655,43.1781
"2,669",11035,Coolumburra,New South Wales,2622,4256.1145,43.1781
"2,670",11036,Cooma (NSW),New South Wales,2630,4206.3548,97.8375
"2,671",11037,Coomba Bay,New South Wales,2428,320.9401,9.336
"2,672",11038,Coomba Park,New South Wales,2428,320.9401,10.6448
"2,673",11039,Coombadjha,New South Wales,2370,4769.4223,194.1509
"2,674",11039,Coombadjha,New South Wales,2460,6630.3495,194.1509
"2,675",11040,Coombell,New South Wales,2469,3813.3747,62.8979
"2,676",11040,Coombell,New South Wales,2470,1256.5159,62.8979
"2,677",11041,Coomealla,New South Wales,2648,23909.7281,118.3458
"2,678",11041,Coomealla,New South Wales,2717,120.7928,118.3458
"2,679",11041,Coomealla,New South Wales,2739,50.1706,118.3458
"2,680",11042,Coomoo Coomoo,New South Wales,2343,3352.8926,163.5499
"2,681",11043,Coonabarabran,New South Wales,2357,3305.5418,955.6865
"2,682",11043,Coonabarabran,New South Wales,2395,1113.5695,955.6865
"2,683",11043,Coonabarabran,New South Wales,2828,2375.64,955.6865
"2,684",11043,Coonabarabran,New South Wales,2842,1317.6706,955.6865
"2,685",11044,Coonamble,New South Wales,2828,2375.64,1514.4096
"2,686",11044,Coonamble,New South Wales,2829,6318.8294,1514.4096
"2,687",11044,Coonamble,New South Wales,2831,22389.3649,1514.4096
"2,688",11045,Coongbar,New South Wales,2460,6630.3495,69.2948
"2,689",11045,Coongbar,New South Wales,2469,3813.3747,69.2948
"2,690",11046,Cooperabung,New South Wales,2441,992.7849,60.7926
"2,691",11046,Cooperabung,New South Wales,2444,222.4491,60.7926
"2,692",11047,Coopernook,New South Wales,2426,71.3349,25.0821
"2,693",11047,Coopernook,New South Wales,2427,39.8682,25.0821
"2,694",11047,Coopernook,New South Wales,2430,843.4816,25.0821
"2,695",11047,Coopernook,New South Wales,2443,312.5374,25.0821
"2,696",11048,Coopers Gully,New South Wales,2550,3966.6591,16.1321
"2,697",11049,Coopers Shoot,New South Wales,2479,164.5709,14.1098
"2,698",11049,Coopers Shoot,New South Wales,2481,131.029,14.1098
"2,699",11050,Cooplacurripa,New South Wales,2354,7142.1491,409.7027
"2,700",11050,Cooplacurripa,New South Wales,2422,3212.5916,409.7027
"2,701",11050,Cooplacurripa,New South Wales,2424,881.6889,409.7027
"2,702",11050,Cooplacurripa,New South Wales,2429,1799.9008,409.7027
"2,703",11051,Coorabell,New South Wales,2479,164.5709,20.395
"2,704",11051,Coorabell,New South Wales,2480,1369.4565,20.395
"2,705",11051,Coorabell,New South Wales,2481,131.029,20.395
"2,706",11051,Coorabell,New South Wales,2482,180.2681,20.395
"2,707",11052,Cooranbong,New South Wales,2264,115.1942,70.4868
"2,708",11052,Cooranbong,New South Wales,2265,136.0018,70.4868
"2,709",11052,Cooranbong,New South Wales,2283,59.2496,70.4868
"2,710",11052,Cooranbong,New South Wales,2323,207.9467,70.4868
"2,711",11053,Cootamundra,New South Wales,2587,921.8587,888.4008
"2,712",11053,Cootamundra,New South Wales,2588,218.0548,888.4008
"2,713",11053,Cootamundra,New South Wales,2590,1320.4637,888.4008
"2,714",11053,Cootamundra,New South Wales,2594,2418.7155,888.4008
"2,715",11053,Cootamundra,New South Wales,2666,2462.5855,888.4008
"2,716",11053,Cootamundra,New South Wales,2722,1576.1373,888.4008
"2,717",11053,Cootamundra,New South Wales,2725,262.3734,888.4008
"2,718",11053,Cootamundra,New South Wales,2726,160.6689,888.4008
"2,719",11053,Cootamundra,New South Wales,2727,772.9227,888.4008
"2,720",11054,Cootralantra,New South Wales,2628,2337.0094,162.068
"2,721",11054,Cootralantra,New South Wales,2630,4206.3548,162.068
"2,722",11055,Cooyal,New South Wales,2850,6005.3758,52.7141
"2,723",11056,Copacabana,New South Wales,2251,43.5444,1.9958
"2,724",11057,Cope,New South Wales,2850,6005.3758,76.4672
"2,725",11057,Cope,New South Wales,2852,1240.991,76.4672
"2,726",11058,Copeland,New South Wales,2422,3212.5916,45.6332
"2,727",11059,Copeton,New South Wales,2359,1294.1139,186.6728
"2,728",11059,Copeton,New South Wales,2360,3385.2978,186.6728
"2,729",11059,Copeton,New South Wales,2404,1992.4546,186.6728
"2,730",11060,Copmanhurst,New South Wales,2460,6630.3495,21.8483
"2,731",11061,Coppabella (NSW),New South Wales,2642,4076.8,163.5698
"2,732",11061,Coppabella (NSW),New South Wales,2644,2157.7365,163.5698
"2,733",11061,Coppabella (NSW),New South Wales,2650,4061.238,163.5698
"2,734",11061,Coppabella (NSW),New South Wales,2652,6116.1137,163.5698
"2,735",11061,Coppabella (NSW),New South Wales,2653,1228.8205,163.5698
"2,736",11062,Copperhannia,New South Wales,2583,3382.6891,185.7339
"2,737",11062,Copperhannia,New South Wales,2793,648.0055,185.7339
"2,738",11062,Copperhannia,New South Wales,2795,5307.5248,185.7339
"2,739",11062,Copperhannia,New South Wales,2799,630.7998,185.7339
"2,740",11063,Coraki,New South Wales,2469,3813.3747,32.3384
"2,741",11063,Coraki,New South Wales,2471,442.1506,32.3384
"2,742",11063,Coraki,New South Wales,2480,1369.4565,32.3384
"2,743",11064,Coralville,New South Wales,2427,39.8682,34.9189
"2,744",11064,Coralville,New South Wales,2443,312.5374,34.9189
"2,745",11065,Coramba,New South Wales,2450,1019.718,53.8945
"2,746",11066,Corang,New South Wales,2580,5512.6655,130.3419
"2,747",11066,Corang,New South Wales,2622,4256.1145,130.3419
"2,748",11067,Corangula,New South Wales,2440,3604.2396,9.9099
"2,749",11068,Corbie Hill,New South Wales,2700,3016.2983,104.5067
"2,750",11068,Corbie Hill,New South Wales,2705,1129.1529,104.5067
"2,751",11069,Cordeaux,New South Wales,2500,27.1582,92.7344
"2,752",11069,Cordeaux,New South Wales,2526,132.2947,92.7344
"2,753",11069,Cordeaux,New South Wales,2530,88.3672,92.7344
"2,754",11069,Cordeaux,New South Wales,2560,411.3136,92.7344
"2,755",11069,Cordeaux,New South Wales,2574,350.23,92.7344
"2,756",11070,Cordeaux Heights,New South Wales,2525,8.5595,3.3534
"2,757",11070,Cordeaux Heights,New South Wales,2526,132.2947,3.3534
"2,758",11071,Coree,New South Wales,2710,10466.1631,402.2663
"2,759",11071,Coree,New South Wales,2713,970.31,402.2663
"2,760",11071,Coree,New South Wales,2716,2861.8271,402.2663
"2,761",11072,Coreen,New South Wales,2646,2895.4549,349.5517
"2,762",11073,Corindi Beach,New South Wales,2456,205.4443,24.2514
"2,763",11073,Corindi Beach,New South Wales,2460,6630.3495,24.2514
"2,764",11074,Corinella (NSW),New South Wales,2671,3297.7351,482.2042
"2,765",11074,Corinella (NSW),New South Wales,2871,3837.8532,482.2042
"2,766",11075,Corlette,New South Wales,2315,32.3446,3.0587
"2,767",11075,Corlette,New South Wales,2317,9.734,3.0587
"2,768",11076,Corndale (NSW),New South Wales,2480,1369.4565,23.5361
"2,769",11077,Corney Town,New South Wales,2790,2481.3231,0.3822
"2,770",11078,Cornwallis,New South Wales,2753,169.4419,7.5193
"2,771",11078,Cornwallis,New South Wales,2756,1486.8709,7.5193
"2,772",11079,Corobimilla,New South Wales,2652,6116.1137,190.0485
"2,773",11079,Corobimilla,New South Wales,2700,3016.2983,190.0485
"2,774",11080,Corowa,New South Wales,2646,2895.4549,77.1283
"2,775",11081,Corrabare,New South Wales,2325,1605.0648,72.5242
"2,776",11082,Corrimal,New South Wales,2517,9.0099,5.0408
"2,777",11082,Corrimal,New South Wales,2518,12.7193,5.0408
"2,778",11082,Corrimal,New South Wales,2519,9.2816,5.0408
"2,779",11082,Corrimal,New South Wales,2560,411.3136,5.0408
"2,780",11083,Corrong,New South Wales,2711,24180.255,978.7859
"2,781",11084,Corrowong,New South Wales,2628,2337.0094,362.6596
"2,782",11084,Corrowong,New South Wales,2633,766.4927,362.6596
"2,783",11085,Corunna,New South Wales,2546,911.2673,11.54
"2,784",11086,Cottage Point,New South Wales,2084,107.3731,0.4048
"2,785",11088,Cougal,New South Wales,2474,1537.5939,35.8615
"2,786",11089,Countegany,New South Wales,2545,876.5468,170.0752
"2,787",11089,Countegany,New South Wales,2546,911.2673,170.0752
"2,788",11089,Countegany,New South Wales,2630,4206.3548,170.0752
"2,789",11090,Courabyra,New South Wales,2652,6116.1137,49.4521
"2,790",11090,Courabyra,New South Wales,2653,1228.8205,49.4521
"2,791",11090,Courabyra,New South Wales,2730,420.4856,49.4521
"2,792",11091,Couradda,New South Wales,2390,4217.1072,162.8493
"2,793",11091,Couradda,New South Wales,2397,1694.9079,162.8493
"2,794",11092,Couragago,New South Wales,2720,2485.6548,24.2552
"2,795",11092,Couragago,New South Wales,2727,772.9227,24.2552
"2,796",11093,Couridjah,New South Wales,2571,250.2842,2.8149
"2,797",11093,Couridjah,New South Wales,2572,106.1734,2.8149
"2,798",11093,Couridjah,New South Wales,2573,16.9784,2.8149
"2,799",11094,Coutts Crossing,New South Wales,2460,6630.3495,59.1844
"2,800",11095,Cow Flat,New South Wales,2795,5307.5248,36.7019
"2,801",11096,Cowabbie,New South Wales,2652,6116.1137,125.7814
"2,802",11096,Cowabbie,New South Wales,2665,4109.6274,125.7814
"2,803",11096,Cowabbie,New South Wales,2701,852.1158,125.7814
"2,804",11096,Cowabbie,New South Wales,2702,439.8686,125.7814
"2,805",11097,Cowan,New South Wales,2081,40.1939,31.897
"2,806",11097,Cowan,New South Wales,2082,9.6876,31.897
"2,807",11097,Cowan,New South Wales,2083,45.774,31.897
"2,808",11098,Cowper,New South Wales,2460,6630.3495,13.5944
"2,809",11098,Cowper,New South Wales,2462,470.532,13.5944
"2,810",11098,Cowper,New South Wales,2463,549.2925,13.5944
"2,811",11099,Cowra,New South Wales,2793,648.0055,885.4301
"2,812",11099,Cowra,New South Wales,2794,1408.2658,885.4301
"2,813",11099,Cowra,New South Wales,2804,878.0498,885.4301
"2,814",11099,Cowra,New South Wales,2805,289.854,885.4301
"2,815",11099,Cowra,New South Wales,2807,299.7008,885.4301
"2,816",11100,Coxs Creek,New South Wales,2849,2801.0405,123.7737
"2,817",11101,Coxs Crown,New South Wales,2849,2801.0405,29.9613
"2,818",11102,Crabbes Creek,New South Wales,2483,182.7314,18.0777
"2,819",11103,Crackenback,New South Wales,2627,1994.6112,84.5415
"2,820",11104,Craigie (NSW),New South Wales,2632,1824.9879,97.9635
"2,821",11104,Craigie (NSW),New South Wales,2633,766.4927,97.9635
"2,822",11105,Cranebrook,New South Wales,2747,55.0667,14.9492
"2,823",11105,Cranebrook,New South Wales,2749,47.0936,14.9492
"2,824",11105,Cranebrook,New South Wales,2750,35.3705,14.9492
"2,825",11105,Cranebrook,New South Wales,2753,169.4419,14.9492
"2,826",11106,Crangan Bay,New South Wales,2259,524.7348,6.5579
"2,827",11106,Crangan Bay,New South Wales,2281,30.9078,6.5579
"2,828",11107,Craven,New South Wales,2415,451.8325,94.7057
"2,829",11107,Craven,New South Wales,2422,3212.5916,94.7057
"2,830",11108,Craven Plateau,New South Wales,2422,3212.5916,18.806
"2,831",11109,Crawford River,New South Wales,2423,1346.2284,98.4252
"2,832",11109,Crawford River,New South Wales,2425,518.0099,98.4252
"2,833",11110,Crawney,New South Wales,2337,3331.7268,269.0963
"2,834",11110,Crawney,New South Wales,2338,989.4776,269.0963
"2,835",11110,Crawney,New South Wales,2340,3352.9983,269.0963
"2,836",11110,Crawney,New South Wales,2343,3352.8926,269.0963
"2,837",11111,Creel Bay,New South Wales,2624,348.5647,74.5564
"2,838",11111,Creel Bay,New South Wales,2627,1994.6112,74.5564
"2,839",11112,Creewah,New South Wales,2631,1199.4934,35.377
"2,840",11112,Creewah,New South Wales,2632,1824.9879,35.377
"2,841",11113,Cremorne (NSW),New South Wales,2062,1.5527,1.6376
"2,842",11113,Cremorne (NSW),New South Wales,2088,8.6503,1.6376
"2,843",11113,Cremorne (NSW),New South Wales,2089,1.5036,1.6376
"2,844",11113,Cremorne (NSW),New South Wales,2090,2.0654,1.6376
"2,845",11114,Cremorne Point,New South Wales,2088,8.6503,0.4278
"2,846",11114,Cremorne Point,New South Wales,2089,1.5036,0.4278
"2,847",11114,Cremorne Point,New South Wales,2090,2.0654,0.4278
"2,848",11115,Crescent Head,New South Wales,2440,3604.2396,181.8734
"2,849",11115,Crescent Head,New South Wales,2441,992.7849,181.8734
"2,850",11115,Crescent Head,New South Wales,2444,222.4491,181.8734
"2,851",11116,Crestwood,New South Wales,2620,2869.8201,1.9582
