Row Number,Suburb Code 2021,Suburb,State,Postcode,Postcode Area (sq km),Suburb Area (sq km)
72,10030,Alexandria,New South Wales,2015,4.2157,3.537
73,10030,Alexandria,New South Wales,2016,1.1717,3.537
74,10030,Alexandria,New South Wales,2017,1.9386,3.537
75,10030,Alexandria,New South Wales,2018,3.9305,3.537
76,10030,Alexandria,New South Wales,2020,11.9607,3.537
77,10030,Alexandria,New South Wales,2043,0.8075,3.537
78,10030,Alexandria,New South Wales,2044,3.8539,3.537
79,10031,Alfords Point,New South Wales,2234,39.7248,2.5665
80,10032,Alfredtown,New South Wales,2650,4061.238,75.0792
81,10032,Alfredtown,New South Wales,2651,34.62,75.0792
82,10032,Alfredtown,New South Wales,2652,6116.1137,75.0792
83,10033,Alice,New South Wales,2460,6630.3495,13.2753
84,10033,Alice,New South Wales,2469,3813.3747,13.2753
85,10034,Alison (Central Coast - NSW),New South Wales,2259,524.7348,1.3958
86,10035,Alison (Dungog - NSW),New South Wales,2321,361.6288,19.2707
87,10035,Alison (Dungog - NSW),New South Wales,2420,1023.5128,19.2707
88,10036,Allambie Heights,New South Wales,2086,8.0742,6.6746
89,10036,Allambie Heights,New South Wales,2087,8.9311,6.6746
90,10036,Allambie Heights,New South Wales,2092,3.1079,6.6746
91,10036,Allambie Heights,New South Wales,2093,7.529,6.6746
92,10036,Allambie Heights,New South Wales,2100,13.4698,6.6746
93,10037,Allandale (NSW),New South Wales,2320,403.8742,10.4827
94,10037,Allandale (NSW),New South Wales,2321,361.6288,10.4827
95,10037,Allandale (NSW),New South Wales,2325,1605.0648,10.4827
96,10037,Allandale (NSW),New South Wales,2326,80.9068,10.4827
97,10037,Allandale (NSW),New South Wales,2334,20.7073,10.4827
98,10038,Allawah,New South Wales,2218,2.6615,0.5837
99,10038,Allawah,New South Wales,2220,5.144,0.5837
100,10038,Allawah,New South Wales,2221,5.3796,0.5837
101,10039,Alleena,New South Wales,2665,4109.6274,269.6334
102,10039,Alleena,New South Wales,2668,708.1132,269.6334
