Postcode,SA4,Rented Households,Postcode Totals,SA4 Totals,Postcode Fraction,SA4 Fraction,SA4_CODE21,SA4_NAME21,GCC_NAME21,STE_NAME21
2071,Sydney - North Sydney and Hornsby,1056.0,1056.0,54475.0,1.0,0.019385039008719598,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2072,Sydney - North Sydney and Hornsby,1143.0,1143.0,54475.0,1.0,0.020982101881597062,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2073,Sydney - North Sydney and Hornsby,990.0,990.0,54475.0,1.0,0.01817347407067462,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2074,Sydney - North Sydney and Hornsby,1244.0,1244.0,54475.0,1.0,0.02283616337769619,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2075,Sydney - North Sydney and Hornsby,1127.0,1127.0,54475.0,1.0,0.020688389169343735,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2076,Sydney - North Sydney and Hornsby,1417.0,1417.0,54475.0,1.0,0.02601193207893529,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2077,Sydney - North Sydney and Hornsby,6282.0,6282.0,54475.0,1.0,0.11531895364846259,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2079,Sydney - North Sydney and Hornsby,470.0,470.0,54475.0,1.0,0.008627810922441487,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2080,Sydney - North Sydney and Hornsby,72.0,72.0,54475.0,1.0,0.0013217072051399724,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2081,Sydney - North Sydney and Hornsby,209.0,209.0,54475.0,1.0,0.003836622303809087,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2082,Sydney - North Sydney and Hornsby,196.0,196.0,54475.0,1.0,0.0035979807251032584,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2083,Central Coast,51.0,143.0,36532.0,0.35664335664335667,0.0013960363516916676,102,Central Coast,Greater Sydney,New South Wales
