SA4 Code 2021,SA4 Name,LGA Code 2021,LGA,LGA - Converted,State,Gcc Name21,LGA Area (sq km),SA4 Area (sq km),Row Number
103,Central West,15850,Narromine,Narromine,New South Wales,Rest of NSW,5261.5165,70297.06,47
103,Central West,16100,Oberon,Oberon,New South Wales,Rest of NSW,3625.047,70297.06,48
103,Central West,16150,Orange,Orange,New South Wales,Rest of NSW,284.2159,70297.06,49
103,Central West,16200,Parkes,Parkes,New South Wales,Rest of NSW,5957.6137,70297.06,50
103,Central West,17000,Singleton,Singleton,New South Wales,Rest of NSW,4892.7168,70297.06,51
103,Central West,17350,Temora,Temora,New South Wales,Rest of NSW,2802.0159,70297.06,52
103,Central West,17620,Upper Hunter Shire,Upper Hunter,New South Wales,Rest of NSW,8096.0889,70297.06,53
103,Central West,17640,Upper Lachlan Shire,Upper Lachlan,New South Wales,Rest of NSW,7127.3957,70297.06,54
103,Central West,17950,Warren,Warren,New South Wales,Rest of NSW,10753.7672,70297.06,55
103,Central West,18020,Warrumbungle Shire,Warrumbungle,New South Wales,Rest of NSW,12372.12,70297.06,56
103,Central West,18100,Weddin,Weddin,New South Wales,Rest of NSW,3414.8566,70297.06,57
104,Coffs Harbour - Grafton,10180,Armidale Regional,Armidale,New South Wales,Rest of NSW,7809.4406,13229.7577,58
104,Coffs Harbour - Grafton,10600,Bellingen,Bellingen,New South Wales,Rest of NSW,1600.4338,13229.7577,59
104,Coffs Harbour - Grafton,11730,Clarence Valley,Clarence Valley,New South Wales,Rest of NSW,10428.6804,13229.7577,60
104,Coffs Harbour - Grafton,11800,Coffs Harbour,Coffs Harbour,New South Wales,Rest of NSW,1173.7435,13229.7577,61
104,Coffs Harbour - Grafton,13010,Glen Innes Severn,Glen Innes Severn,New South Wales,Rest of NSW,5479.977,13229.7577,62
104,Coffs Harbour - Grafton,14350,Kempsey,Kempsey,New South Wales,Rest of NSW,3375.6704,13229.7577,63
104,Coffs Harbour - Grafton,14550,Kyogle,Kyogle,New South Wales,Rest of NSW,3584.1829,13229.7577,64
104,Coffs Harbour - Grafton,15700,Nambucca Valley,Nambucca Valley,New South Wales,Rest of NSW,1491.3431,13229.7577,65
104,Coffs Harbour - Grafton,16610,Richmond Valley,Richmond Valley,New South Wales,Rest of NSW,3047.3748,13229.7577,66
104,Coffs Harbour - Grafton,17400,Tenterfield,Tenterfield,New South Wales,Rest of NSW,7324.3072,13229.7577,67
105,Far West and Orana,10300,Balranald,Balranald,New South Wales,Rest of NSW,21690.7493,339355.6461,68
105,Far West and Orana,10950,Bogan,Bogan,New South Wales,Rest of NSW,14599.8996,339355.6461,69
105,Far West and Orana,11150,Bourke,Bourke,New South Wales,Rest of NSW,41598.3722,339355.6461,70
105,Far West and Orana,11200,Brewarrina,Brewarrina,New South Wales,Rest of NSW,19162.0296,339355.6461,71
105,Far West and Orana,11250,Broken Hill,Broken Hill,New South Wales,Rest of NSW,170.1153,339355.6461,72
105,Far West and Orana,11400,Cabonne,Cabonne,New South Wales,Rest of NSW,6022.3496,339355.6461,73
105,Far West and Orana,11600,Carrathool,Carrathool,New South Wales,Rest of NSW,18934.4853,339355.6461,74
105,Far West and Orana,11700,Central Darling,Central Darling,New South Wales,Rest of NSW,53492.193,339355.6461,75
105,Far West and Orana,11750,Cobar,Cobar,New South Wales,Rest of NSW,45575.3512,339355.6461,76
105,Far West and Orana,12150,Coonamble,Coonamble,New South Wales,Rest of NSW,9916.0535,339355.6461,77
105,Far West and Orana,12390,Dubbo Regional,Dubbo,New South Wales,Rest of NSW,7534.5251,339355.6461,78
105,Far West and Orana,12950,Gilgandra,Gilgandra,New South Wales,Rest of NSW,4831.5057,339355.6461,79
105,Far West and Orana,13550,Gunnedah,Gunnedah,New South Wales,Rest of NSW,4987.0295,339355.6461,80
105,Far West and Orana,14600,Lachlan,Lachlan,New South Wales,Rest of NSW,14968.2539,339355.6461,81
105,Far West and Orana,14920,Liverpool Plains,Liverpool Plains,New South Wales,Rest of NSW,5082.2398,339355.6461,82
105,Far West and Orana,15270,Mid-Western Regional,Mid-Western,New South Wales,Rest of NSW,8752.2589,339355.6461,83
105,Far West and Orana,15300,Moree Plains,Moree Plains,New South Wales,Rest of NSW,17902.7033,339355.6461,84
105,Far West and Orana,15750,Narrabri,Narrabri,New South Wales,Rest of NSW,13014.9937,339355.6461,85
105,Far West and Orana,15850,Narromine,Narromine,New South Wales,Rest of NSW,5261.5165,339355.6461,86
105,Far West and Orana,16200,Parkes,Parkes,New South Wales,Rest of NSW,5957.6137,339355.6461,87
105,Far West and Orana,17620,Upper Hunter Shire,Upper Hunter,New South Wales,Rest of NSW,8096.0889,339355.6461,88
105,Far West and Orana,17900,Walgett,Walgett,New South Wales,Rest of NSW,22308.2528,339355.6461,89
105,Far West and Orana,17950,Warren,Warren,New South Wales,Rest of NSW,10753.7672,339355.6461,90
105,Far West and Orana,18020,Warrumbungle Shire,Warrumbungle,New South Wales,Rest of NSW,12372.12,339355.6461,91
105,Far West and Orana,18200,Wentworth,Wentworth,New South Wales,Rest of NSW,26255.9338,339355.6461,92
105,Far West and Orana,19399,Unincorporated NSW,Unincorporated NSW,New South Wales,Rest of NSW,93208.9194,339355.6461,93
105,Far West and Orana,30300,Balonne,Balonne,Queensland,Rest of NSW,31104.0851,339355.6461,94
105,Far West and Orana,31750,Bulloo,Bulloo,Queensland,Rest of NSW,73722.0101,339355.6461,95
105,Far West and Orana,35800,Paroo,Paroo,Queensland,Rest of NSW,47614.9225,339355.6461,96
105,Far West and Orana,49399,Unincorporated SA,Unincorporated SA,South Australia,Rest of NSW,619426.0858,339355.6461,97
106,Hunter Valley exc Newcastle,11650,Central Coast (NSW),Central Coast (NSW),New South Wales,Rest of NSW,1681.0059,21491.2917,98
106,Hunter Valley exc Newcastle,11720,Cessnock,Cessnock,New South Wales,Rest of NSW,1965.1593,21491.2917,99
106,Hunter Valley exc Newcastle,12700,Dungog,Dungog,New South Wales,Rest of NSW,2249.9983,21491.2917,100
106,Hunter Valley exc Newcastle,13800,Hawkesbury,Hawkesbury,New South Wales,Rest of NSW,2775.1378,21491.2917,101
106,Hunter Valley exc Newcastle,14650,Lake Macquarie,Lake Macquarie,New South Wales,Rest of NSW,648.6393,21491.2917,102
106,Hunter Valley exc Newcastle,14870,Lithgow,Lithgow,New South Wales,Rest of NSW,4512.2561,21491.2917,103
106,Hunter Valley exc Newcastle,14920,Liverpool Plains,Liverpool Plains,New South Wales,Rest of NSW,5082.2398,21491.2917,104
106,Hunter Valley exc Newcastle,15050,Maitland,Maitland,New South Wales,Rest of NSW,391.5089,21491.2917,105
106,Hunter Valley exc Newcastle,15240,Mid-Coast,Mid-Coast,New South Wales,Rest of NSW,10053.8633,21491.2917,106
106,Hunter Valley exc Newcastle,15270,Mid-Western Regional,Mid-Western,New South Wales,Rest of NSW,8752.2589,21491.2917,107
106,Hunter Valley exc Newcastle,15650,Muswellbrook,Muswellbrook,New South Wales,Rest of NSW,3404.8841,21491.2917,108
106,Hunter Valley exc Newcastle,15900,Newcastle,Newcastle,New South Wales,Rest of NSW,186.7255,21491.2917,109
106,Hunter Valley exc Newcastle,16400,Port Stephens,Port Stephens,New South Wales,Rest of NSW,858.4357,21491.2917,110
106,Hunter Valley exc Newcastle,17000,Singleton,Singleton,New South Wales,Rest of NSW,4892.7168,21491.2917,111
106,Hunter Valley exc Newcastle,17310,Tamworth Regional,Tamworth,New South Wales,Rest of NSW,9884.3505,21491.2917,112
106,Hunter Valley exc Newcastle,17620,Upper Hunter Shire,Upper Hunter,New South Wales,Rest of NSW,8096.0889,21491.2917,113
106,Hunter Valley exc Newcastle,17850,Walcha,Walcha,New South Wales,Rest of NSW,6261.0243,21491.2917,114
106,Hunter Valley exc Newcastle,18020,Warrumbungle Shire,Warrumbungle,New South Wales,Rest of NSW,12372.12,21491.2917,115
107,Illawarra,11500,Campbelltown (NSW),Campbelltown (NSW),New South Wales,Rest of NSW,311.4117,1539.2405,116
107,Illawarra,14400,Kiama,Kiama,New South Wales,Rest of NSW,257.6638,1539.2405,117
107,Illawarra,16900,Shellharbour,Shellharbour,New South Wales,Rest of NSW,147.4208,1539.2405,118
107,Illawarra,16950,Shoalhaven,Shoalhaven,New South Wales,Rest of NSW,4567.2011,1539.2405,119
107,Illawarra,17150,Sutherland Shire,Sutherland,New South Wales,Rest of NSW,333.5806,1539.2405,120
107,Illawarra,18350,Wingecarribee,Wingecarribee,New South Wales,Rest of NSW,2689.3415,1539.2405,121
107,Illawarra,18400,Wollondilly,Wollondilly,New South Wales,Rest of NSW,2555.4341,1539.2405,122
107,Illawarra,18450,Wollongong,Wollongong,New South Wales,Rest of NSW,684.3076,1539.2405,123
108,Mid North Coast,10180,Armidale Regional,Armidale,New South Wales,Rest of NSW,7809.4406,18851.4986,124
108,Mid North Coast,10600,Bellingen,Bellingen,New South Wales,Rest of NSW,1600.4338,18851.4986,125
108,Mid North Coast,12700,Dungog,Dungog,New South Wales,Rest of NSW,2249.9983,18851.4986,126
108,Mid North Coast,14350,Kempsey,Kempsey,New South Wales,Rest of NSW,3375.6704,18851.4986,127
108,Mid North Coast,15240,Mid-Coast,Mid-Coast,New South Wales,Rest of NSW,10053.8633,18851.4986,128
108,Mid North Coast,15700,Nambucca Valley,Nambucca Valley,New South Wales,Rest of NSW,1491.3431,18851.4986,129
108,Mid North Coast,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,New South Wales,Rest of NSW,3682.3915,18851.4986,130
108,Mid North Coast,16400,Port Stephens,Port Stephens,New South Wales,Rest of NSW,858.4357,18851.4986,131
108,Mid North Coast,17620,Upper Hunter Shire,Upper Hunter,New South Wales,Rest of NSW,8096.0889,18851.4986,132
108,Mid North Coast,17850,Walcha,Walcha,New South Wales,Rest of NSW,6261.0243,18851.4986,133
108,Mid North Coast,19399,Unincorporated NSW,Unincorporated NSW,New South Wales,Rest of NSW,93208.9194,18851.4986,134
109,Murray,10050,Albury,Albury,New South Wales,Rest of NSW,305.6386,97796.4898,135
109,Murray,10300,Balranald,Balranald,New South Wales,Rest of NSW,21690.7493,97796.4898,136
109,Murray,10650,Berrigan,Berrigan,New South Wales,Rest of NSW,2065.8878,97796.4898,137
109,Murray,11600,Carrathool,Carrathool,New South Wales,Rest of NSW,18934.4853,97796.4898,138
109,Murray,11700,Central Darling,Central Darling,New South Wales,Rest of NSW,53492.193,97796.4898,139
109,Murray,12730,Edward River,Edward River,New South Wales,Rest of NSW,8883.4463,97796.4898,140
109,Murray,12870,Federation,Federation,New South Wales,Rest of NSW,5684.9253,97796.4898,141
109,Murray,13340,Greater Hume Shire,Greater Hume,New South Wales,Rest of NSW,5749.3875,97796.4898,142
109,Murray,13850,Hay,Hay,New South Wales,Rest of NSW,11325.9324,97796.4898,143
109,Murray,14950,Lockhart,Lockhart,New South Wales,Rest of NSW,2895.8049,97796.4898,144
109,Murray,15520,Murray River,Murray River,New South Wales,Rest of NSW,11863.0162,97796.4898,145
109,Murray,15560,Murrumbidgee,Murrumbidgee,New South Wales,Rest of NSW,6880.7902,97796.4898,146
109,Murray,17080,Snowy Valleys,Snowy Valleys,New South Wales,Rest of NSW,8958.9215,97796.4898,147
109,Murray,17750,Wagga Wagga,Wagga Wagga,New South Wales,Rest of NSW,4824.4888,97796.4898,148
109,Murray,18200,Wentworth,Wentworth,New South Wales,Rest of NSW,26255.9338,97796.4898,149
109,Murray,19399,Unincorporated NSW,Unincorporated NSW,New South Wales,Rest of NSW,93208.9194,97796.4898,150
109,Murray,21370,Campaspe,Campaspe,Victoria,Rest of NSW,4519.073,97796.4898,151
109,Murray,22250,Gannawarra,Gannawarra,Victoria,Rest of NSW,3737.5979,97796.4898,152
109,Murray,23350,Indigo,Indigo,Victoria,Rest of NSW,2040.471,97796.4898,153
109,Murray,24780,Mildura,Mildura,Victoria,Rest of NSW,22081.9206,97796.4898,154
109,Murray,24900,Moira,Moira,Victoria,Rest of NSW,4045.9201,97796.4898,155
109,Murray,26610,Swan Hill,Swan Hill,Victoria,Rest of NSW,6115.5373,97796.4898,156
109,Murray,26670,Towong,Towong,Victoria,Rest of NSW,6675.1725,97796.4898,157
109,Murray,27170,Wodonga,Wodonga,Victoria,Rest of NSW,433.0021,97796.4898,158
109,Murray,49399,Unincorporated SA,Unincorporated SA,South Australia,Rest of NSW,619426.0858,97796.4898,159
110,New England and North West,10180,Armidale Regional,Armidale,New South Wales,Rest of NSW,7809.4406,99139.8999,160
110,New England and North West,10600,Bellingen,Bellingen,New South Wales,Rest of NSW,1600.4338,99139.8999,161
110,New England and North West,11730,Clarence Valley,Clarence Valley,New South Wales,Rest of NSW,10428.6804,99139.8999,162
110,New England and North West,12150,Coonamble,Coonamble,New South Wales,Rest of NSW,9916.0535,99139.8999,163
110,New England and North West,13010,Glen Innes Severn,Glen Innes Severn,New South Wales,Rest of NSW,5479.977,99139.8999,164
110,New England and North West,13550,Gunnedah,Gunnedah,New South Wales,Rest of NSW,4987.0295,99139.8999,165
110,New England and North West,13660,Gwydir,Gwydir,New South Wales,Rest of NSW,9259.6544,99139.8999,166
110,New England and North West,14220,Inverell,Inverell,New South Wales,Rest of NSW,9404.7564,99139.8999,167
110,New England and North West,14350,Kempsey,Kempsey,New South Wales,Rest of NSW,3375.6704,99139.8999,168
110,New England and North West,14550,Kyogle,Kyogle,New South Wales,Rest of NSW,3584.1829,99139.8999,169
110,New England and North West,14920,Liverpool Plains,Liverpool Plains,New South Wales,Rest of NSW,5082.2398,99139.8999,170
110,New England and North West,15240,Mid-Coast,Mid-Coast,New South Wales,Rest of NSW,10053.8633,99139.8999,171
110,New England and North West,15300,Moree Plains,Moree Plains,New South Wales,Rest of NSW,17902.7033,99139.8999,172
110,New England and North West,15700,Nambucca Valley,Nambucca Valley,New South Wales,Rest of NSW,1491.3431,99139.8999,173
110,New England and North West,15750,Narrabri,Narrabri,New South Wales,Rest of NSW,13014.9937,99139.8999,174
110,New England and North West,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,New South Wales,Rest of NSW,3682.3915,99139.8999,175
110,New England and North West,17310,Tamworth Regional,Tamworth,New South Wales,Rest of NSW,9884.3505,99139.8999,176
110,New England and North West,17400,Tenterfield,Tenterfield,New South Wales,Rest of NSW,7324.3072,99139.8999,177
110,New England and North West,17620,Upper Hunter Shire,Upper Hunter,New South Wales,Rest of NSW,8096.0889,99139.8999,178
110,New England and North West,17650,Uralla,Uralla,New South Wales,Rest of NSW,3226.5327,99139.8999,179
110,New England and North West,17850,Walcha,Walcha,New South Wales,Rest of NSW,6261.0243,99139.8999,180
110,New England and North West,17900,Walgett,Walgett,New South Wales,Rest of NSW,22308.2528,99139.8999,181
110,New England and North West,18020,Warrumbungle Shire,Warrumbungle,New South Wales,Rest of NSW,12372.12,99139.8999,182
110,New England and North West,30300,Balonne,Balonne,Queensland,Rest of NSW,31104.0851,99139.8999,183
110,New England and North West,33610,Goondiwindi,Goondiwindi,Queensland,Rest of NSW,19265.7098,99139.8999,184
110,New England and North West,36510,Scenic Rim,Scenic Rim,Queensland,Rest of NSW,4243.0014,99139.8999,185
110,New England and North West,36660,Southern Downs,Southern Downs,Queensland,Rest of NSW,7106.436,99139.8999,186
111,Newcastle and Lake Macquarie,11650,Central Coast (NSW),Central Coast (NSW),New South Wales,Rest of NSW,1681.0059,870.5821,187
111,Newcastle and Lake Macquarie,11720,Cessnock,Cessnock,New South Wales,Rest of NSW,1965.1593,870.5821,188
111,Newcastle and Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,New South Wales,Rest of NSW,648.6393,870.5821,189
111,Newcastle and Lake Macquarie,15050,Maitland,Maitland,New South Wales,Rest of NSW,391.5089,870.5821,190
111,Newcastle and Lake Macquarie,15900,Newcastle,Newcastle,New South Wales,Rest of NSW,186.7255,870.5821,191
111,Newcastle and Lake Macquarie,16400,Port Stephens,Port Stephens,New South Wales,Rest of NSW,858.4357,870.5821,192
112,Richmond - Tweed,10250,Ballina,Ballina,New South Wales,Rest of NSW,484.9692,10271.3201,193
112,Richmond - Tweed,11350,Byron,Byron,New South Wales,Rest of NSW,565.8027,10271.3201,194
112,Richmond - Tweed,11730,Clarence Valley,Clarence Valley,New South Wales,Rest of NSW,10428.6804,10271.3201,195
112,Richmond - Tweed,14550,Kyogle,Kyogle,New South Wales,Rest of NSW,3584.1829,10271.3201,196
112,Richmond - Tweed,14850,Lismore,Lismore,New South Wales,Rest of NSW,1287.7042,10271.3201,197
112,Richmond - Tweed,16610,Richmond Valley,Richmond Valley,New South Wales,Rest of NSW,3047.3748,10271.3201,198
112,Richmond - Tweed,17400,Tenterfield,Tenterfield,New South Wales,Rest of NSW,7324.3072,10271.3201,199
112,Richmond - Tweed,17550,Tweed,Tweed,New South Wales,Rest of NSW,1307.7853,10271.3201,200
112,Richmond - Tweed,33430,Gold Coast,Gold Coast,Queensland,Rest of NSW,1333.386,10271.3201,201
112,Richmond - Tweed,36510,Scenic Rim,Scenic Rim,Queensland,Rest of NSW,4243.0014,10271.3201,202
113,Riverina,10800,Bland,Bland,New South Wales,Rest of NSW,8557.6536,56984.9805,203
113,Riverina,11600,Carrathool,Carrathool,New South Wales,Rest of NSW,18934.4853,56984.9805,204
113,Riverina,11700,Central Darling,Central Darling,New South Wales,Rest of NSW,53492.193,56984.9805,205
113,Riverina,11750,Cobar,Cobar,New South Wales,Rest of NSW,45575.3512,56984.9805,206
113,Riverina,12000,Coolamon,Coolamon,New South Wales,Rest of NSW,2430.9037,56984.9805,207
113,Riverina,12160,Cootamundra-Gundagai Regional,Cootamundra-Gundagai,New South Wales,Rest of NSW,3981.4172,56984.9805,208
113,Riverina,12730,Edward River,Edward River,New South Wales,Rest of NSW,8883.4463,56984.9805,209
113,Riverina,12870,Federation,Federation,New South Wales,Rest of NSW,5684.9253,56984.9805,210
113,Riverina,13340,Greater Hume Shire,Greater Hume,New South Wales,Rest of NSW,5749.3875,56984.9805,211
113,Riverina,13450,Griffith,Griffith,New South Wales,Rest of NSW,1639.1732,56984.9805,212
113,Riverina,13850,Hay,Hay,New South Wales,Rest of NSW,11325.9324,56984.9805,213
113,Riverina,13910,Hilltops,Hilltops,New South Wales,Rest of NSW,7140.8865,56984.9805,214
113,Riverina,14300,Junee,Junee,New South Wales,Rest of NSW,2030.0222,56984.9805,215
113,Riverina,14600,Lachlan,Lachlan,New South Wales,Rest of NSW,14968.2539,56984.9805,216
113,Riverina,14750,Leeton,Leeton,New South Wales,Rest of NSW,1167.1876,56984.9805,217
113,Riverina,14950,Lockhart,Lockhart,New South Wales,Rest of NSW,2895.8049,56984.9805,218
113,Riverina,15560,Murrumbidgee,Murrumbidgee,New South Wales,Rest of NSW,6880.7902,56984.9805,219
113,Riverina,15800,Narrandera,Narrandera,New South Wales,Rest of NSW,4116.3458,56984.9805,220
113,Riverina,17040,Snowy Monaro Regional,Snowy Monaro,New South Wales,Rest of NSW,15164.7904,56984.9805,221
113,Riverina,17080,Snowy Valleys,Snowy Valleys,New South Wales,Rest of NSW,8958.9215,56984.9805,222
113,Riverina,17350,Temora,Temora,New South Wales,Rest of NSW,2802.0159,56984.9805,223
113,Riverina,17750,Wagga Wagga,Wagga Wagga,New South Wales,Rest of NSW,4824.4888,56984.9805,224
113,Riverina,18710,Yass Valley,Yass Valley,New South Wales,Rest of NSW,3995.017,56984.9805,225
113,Riverina,22110,East Gippsland,East Gippsland,Victoria,Rest of NSW,20939.5016,56984.9805,226
113,Riverina,26670,Towong,Towong,Victoria,Rest of NSW,6675.1725,56984.9805,227
113,Riverina,89399,Unincorporated ACT,Unincorporated ACT,Australian Capital Territory,Rest of NSW,2358.133,56984.9805,228
114,Southern Highlands and Shoalhaven,12750,Eurobodalla,Eurobodalla,New South Wales,Rest of NSW,3428.1695,6704.9619,229
114,Southern Highlands and Shoalhaven,13310,Goulburn Mulwaree,Goulburn Mulwaree,New South Wales,Rest of NSW,3220.0796,6704.9619,230
114,Southern Highlands and Shoalhaven,14400,Kiama,Kiama,New South Wales,Rest of NSW,257.6638,6704.9619,231
114,Southern Highlands and Shoalhaven,16490,Queanbeyan-Palerang Regional,Queanbeyan-Palerang,New South Wales,Rest of NSW,5319.0075,6704.9619,232
114,Southern Highlands and Shoalhaven,16900,Shellharbour,Shellharbour,New South Wales,Rest of NSW,147.4208,6704.9619,233
114,Southern Highlands and Shoalhaven,16950,Shoalhaven,Shoalhaven,New South Wales,Rest of NSW,4567.2011,6704.9619,234
114,Southern Highlands and Shoalhaven,17640,Upper Lachlan Shire,Upper Lachlan,New South Wales,Rest of NSW,7127.3957,6704.9619,235
114,Southern Highlands and Shoalhaven,18350,Wingecarribee,Wingecarribee,New South Wales,Rest of NSW,2689.3415,6704.9619,236
114,Southern Highlands and Shoalhaven,18400,Wollondilly,Wollondilly,New South Wales,Rest of NSW,2555.4341,6704.9619,237
114,Southern Highlands and Shoalhaven,18450,Wollongong,Wollongong,New South Wales,Rest of NSW,684.3076,6704.9619,238
114,Southern Highlands and Shoalhaven,99399,Unincorp. Other Territories,Unincorp. Other Territories,Other Territories,Rest of NSW,105.8806,6704.9619,239
115,Sydney - Baulkham Hills and Hawkesbury,10750,Blacktown,Blacktown,New South Wales,Greater Sydney,238.8471,3251.4981,240
115,Sydney - Baulkham Hills and Hawkesbury,10900,Blue Mountains,Blue Mountains,New South Wales,Greater Sydney,1431.1442,3251.4981,241
115,Sydney - Baulkham Hills and Hawkesbury,11650,Central Coast (NSW),Central Coast (NSW),New South Wales,Greater Sydney,1681.0059,3251.4981,242
115,Sydney - Baulkham Hills and Hawkesbury,11720,Cessnock,Cessnock,New South Wales,Greater Sydney,1965.1593,3251.4981,243
115,Sydney - Baulkham Hills and Hawkesbury,13800,Hawkesbury,Hawkesbury,New South Wales,Greater Sydney,2775.1378,3251.4981,244
115,Sydney - Baulkham Hills and Hawkesbury,14000,Hornsby,Hornsby,New South Wales,Greater Sydney,455.0374,3251.4981,245
115,Sydney - Baulkham Hills and Hawkesbury,14870,Lithgow,Lithgow,New South Wales,Greater Sydney,4512.2561,3251.4981,246
115,Sydney - Baulkham Hills and Hawkesbury,16260,Parramatta,Parramatta,New South Wales,Greater Sydney,83.8303,3251.4981,247
115,Sydney - Baulkham Hills and Hawkesbury,17000,Singleton,Singleton,New South Wales,Greater Sydney,4892.7168,3251.4981,248
115,Sydney - Baulkham Hills and Hawkesbury,17420,The Hills Shire,The Hills,New South Wales,Greater Sydney,386.1583,3251.4981,249
116,Sydney - Blacktown,10750,Blacktown,Blacktown,New South Wales,Greater Sydney,238.8471,240.8835,250
116,Sydney - Blacktown,12380,Cumberland,Cumberland,New South Wales,Greater Sydney,72.7496,240.8835,251
116,Sydney - Blacktown,12850,Fairfield,Fairfield,New South Wales,Greater Sydney,101.5072,240.8835,252
