Postcode,LGA,Rented Households,Postcode Totals,LGA Totals,Postcode Fraction,LGA Fraction
2038,Sydney,8.0,1608.0,63630.0,0.004975124378109453,0.00012572685840012572
2039,Inner West,1444.0,1444.0,32785.0,1.0,0.044044532560622233
2040,Inner West,3492.0,3492.0,32785.0,1.0,0.10651212444715571
2041,Inner West,2562.0,2562.0,32785.0,1.0,0.07814549336586854
2042,Inner West,2707.0,4615.0,32785.0,0.5865655471289274,0.08256824767424127
2042,Sydney,1908.0,4615.0,63630.0,0.4134344528710726,0.029985855728429985
2043,Sydney,2434.0,2434.0,63630.0,1.0,0.03825239666823825
2044,Inner West,1167.0,1172.0,32785.0,0.9957337883959044,0.03559554674393778
2044,Sydney,5.0,1172.0,63630.0,0.004266211604095563,7.857928650007858e-05
2045,Inner West,386.0,386.0,32785.0,1.0,0.01177367698642672
2046,Canada Bay,3595.0,3595.0,13176.0,1.0,0.2728445658773528
2047,Canada Bay,1779.0,1779.0,13176.0,1.0,0.13501821493624772
2048,Inner West,1422.0,1422.0,32785.0,1.0,0.043373493975903614
2049,Inner West,2539.0,2539.0,32785.0,1.0,0.07744395302729908
2050,Inner West,781.0,2494.0,32785.0,0.31315156375300723,0.023821869757511056
2050,Sydney,1713.0,2494.0,63630.0,0.6868484362469928,0.02692126355492692
2060,North Sydney,4111.0,4111.0,17013.0,1.0,0.24163874684065126
2061,North Sydney,1921.0,1921.0,17013.0,1.0,0.11291365426438606
2062,North Sydney,1275.0,1275.0,17013.0,1.0,0.07494269088344208
2063,Willoughby,427.0,427.0,10706.0,1.0,0.03988417709695498
2064,Willoughby,1817.0,1817.0,10706.0,1.0,0.16971791518774518
2065,Lane Cove,1418.0,7162.0,5781.0,0.19798938843898353,0.24528628265006056
2065,North Sydney,4068.0,7162.0,17013.0,0.5679977659871545,0.239111267853994
2065,Willoughby,1676.0,7162.0,10706.0,0.23401284557386204,0.15654773024472257
2066,Lane Cove,4363.0,4518.0,5781.0,0.965692784417884,0.7547137173499394
2066,Willoughby,155.0,4518.0,10706.0,0.03430721558211598,0.014477862880627685
2067,Ryde,16.0,4906.0,20564.0,0.003261312678353037,0.0007780587434351293
2067,Willoughby,4890.0,4906.0,10706.0,0.9967386873216469,0.4567532224920605
2068,Willoughby,1484.0,1484.0,10706.0,1.0,0.13861386138613863
2069,Ku-ring-gai,791.0,1048.0,8359.0,0.7547709923664122,0.0946285440842206
2069,Willoughby,257.0,1048.0,10706.0,0.2452290076335878,0.02400523071175042
2070,Ku-ring-gai,1235.0,1235.0,8359.0,1.0,0.14774494556765164
2071,Ku-ring-gai,1056.0,1056.0,8359.0,1.0,0.1263309008254576
2072,Ku-ring-gai,1143.0,1143.0,8359.0,1.0,0.13673884435937314
2073,Ku-ring-gai,990.0,990.0,8359.0,1.0,0.11843521952386649
2074,Ku-ring-gai,1244.0,1244.0,8359.0,1.0,0.14882162938150498
2075,Ku-ring-gai,1127.0,1127.0,8359.0,1.0,0.13482473980141166
2076,Hornsby,646.0,1419.0,12039.0,0.45525017618040875,0.05365894177257247
2076,Ku-ring-gai,773.0,1419.0,8359.0,0.5447498238195913,0.09247517645651394
2077,Hornsby,6282.0,6282.0,12039.0,1.0,0.5218041365561924
2079,Hornsby,470.0,470.0,12039.0,1.0,0.039039787357753965
2080,Hornsby,72.0,72.0,12039.0,1.0,0.00598056316969848
2081,Hornsby,209.0,209.0,12039.0,1.0,0.017360245867596977
2082,Hornsby,197.0,197.0,12039.0,1.0,0.016363485339313897
2083,Central Coast (NSW),51.0,143.0,36532.0,0.35664335664335667,0.0013960363516916676
2083,Hornsby,92.0,143.0,12039.0,0.6433566433566433,0.007641830716836946
2084,Northern Beaches,189.0,189.0,25600.0,1.0,0.0073828125
2085,Northern Beaches,397.0,397.0,25600.0,1.0,0.0155078125
2086,Northern Beaches,690.0,690.0,25600.0,1.0,0.026953125
2087,Northern Beaches,747.0,747.0,25600.0,1.0,0.0291796875
2088,Mosman,3856.0,3856.0,3856.0,1.0,1.0
2089,North Sydney,2831.0,2831.0,17013.0,1.0,0.16640216305178393
2090,North Sydney,2807.0,2807.0,17013.0,1.0,0.16499147710574266
2092,Northern Beaches,369.0,369.0,25600.0,1.0,0.0144140625
2093,Northern Beaches,2299.0,2299.0,25600.0,1.0,0.0898046875
2094,Northern Beaches,843.0,843.0,25600.0,1.0,0.0329296875
2095,Northern Beaches,3633.0,3633.0,25600.0,1.0,0.1419140625
2096,Northern Beaches,2166.0,2166.0,25600.0,1.0,0.084609375
2097,Northern Beaches,1222.0,1222.0,25600.0,1.0,0.047734375
2099,Northern Beaches,6105.0,6105.0,25600.0,1.0,0.2384765625
2100,Northern Beaches,1684.0,1684.0,25600.0,1.0,0.06578125
2101,Northern Beaches,2018.0,2018.0,25600.0,1.0,0.078828125
2102,Northern Beaches,488.0,488.0,25600.0,1.0,0.0190625
2103,Northern Beaches,879.0,879.0,25600.0,1.0,0.0343359375
2104,Northern Beaches,112.0,112.0,25600.0,1.0,0.004375
2105,Northern Beaches,68.0,68.0,25600.0,1.0,0.00265625
2106,Northern Beaches,827.0,827.0,25600.0,1.0,0.0323046875
2107,Northern Beaches,744.0,744.0,25600.0,1.0,0.0290625
2108,Northern Beaches,120.0,120.0,25600.0,1.0,0.0046875
2110,Hunters Hill,672.0,672.0,1173.0,1.0,0.5728900255754475
2111,Hunters Hill,501.0,2249.0,1173.0,0.22276567363272565,0.42710997442455245
2111,Ryde,1748.0,2249.0,20564.0,0.7772343263672743,0.08500291772028788
2112,Ryde,5922.0,5922.0,20564.0,1.0,0.28797899241392727
2113,Ryde,5156.0,5156.0,20564.0,1.0,0.25072943007197046
2114,Parramatta,121.0,4158.0,42559.0,0.0291005291005291,0.002843111915223572
2114,Ryde,4037.0,4158.0,20564.0,0.9708994708994709,0.19631394670297608
2115,Parramatta,1847.0,1847.0,42559.0,1.0,0.04339857609436312
2116,Parramatta,1061.0,1061.0,42559.0,1.0,0.0249300970417538
2117,Parramatta,2756.0,2756.0,42559.0,1.0,0.0647571606475716
2118,Parramatta,2986.0,2986.0,42559.0,1.0,0.07016142296576518
2119,Hornsby,546.0,641.0,12039.0,0.8517940717628705,0.04535260403688014
2119,Parramatta,95.0,641.0,42559.0,0.1482059282371295,0.002232195305340821
2120,Hornsby,1417.0,1417.0,12039.0,1.0,0.11770080571476037
2121,Hornsby,174.0,4542.0,12039.0,0.03830911492734478,0.01445302766010466
2121,Parramatta,4368.0,4542.0,42559.0,0.9616908850726552,0.10263399046030217
2122,Parramatta,641.0,4326.0,42559.0,0.14817383263985207,0.015061444112878592
2122,Ryde,3685.0,4326.0,20564.0,0.8518261673601479,0.17919665434740323
2125,Hornsby,203.0,646.0,12039.0,0.3142414860681115,0.016861865603455435
2125,The Hills,443.0,646.0,12274.0,0.6857585139318886,0.03609255336483624
2126,Hornsby,883.0,883.0,12039.0,1.0,0.07334496220616331
2127,Parramatta,5674.0,5674.0,42559.0,1.0,0.1333208017105665
2128,Parramatta,388.0,388.0,42559.0,1.0,0.00911675556286567
2130,Inner West,1549.0,1549.0,32785.0,1.0,0.04724721671496111
2131,Inner West,4714.0,4714.0,32785.0,1.0,0.14378526765289004
2132,Burwood,590.0,1099.0,6724.0,0.5368516833484986,0.08774538964901844
2132,Inner West,509.0,1099.0,32785.0,0.46314831665150136,0.01552539271008083
2133,Burwood,367.0,1276.0,6724.0,0.28761755485893414,0.054580606781677574
2133,Canterbury-Bankstown,803.0,1276.0,44954.0,0.6293103448275862,0.01786270409752191
2133,Inner West,106.0,1276.0,32785.0,0.08307210031347963,0.003233185908189721
2134,Burwood,4015.0,4015.0,6724.0,1.0,0.5971148126115408
2135,Burwood,1275.0,3820.0,6724.0,0.3337696335078534,0.1896192742415229
2135,Canada Bay,633.0,3820.0,13176.0,0.16570680628272252,0.048041894353369766
2135,Strathfield,1912.0,3820.0,7335.0,0.5005235602094241,0.2606680299931834
2136,Burwood,477.0,910.0,6724.0,0.5241758241758242,0.07093991671624034
2136,Strathfield,433.0,910.0,7335.0,0.4758241758241758,0.05903203817314247
2137,Canada Bay,3373.0,3373.0,13176.0,1.0,0.2559957498482089
2138,Canada Bay,3796.0,3796.0,13176.0,1.0,0.28809957498482086
2140,Strathfield,4490.0,4490.0,7335.0,1.0,0.6121336059986366
2141,Cumberland,3958.0,4548.0,31250.0,0.8702726473175022,0.126656
2141,Parramatta,590.0,4548.0,42559.0,0.1297273526824978,0.013863107685800888
2142,Cumberland,2558.0,5019.0,31250.0,0.5096632795377565,0.081856
2142,Parramatta,2461.0,5019.0,42559.0,0.49033672046224347,0.057825606804671165
2143,Canterbury-Bankstown,550.0,1194.0,44954.0,0.46063651591289784,0.012234728833919118
2143,Cumberland,644.0,1194.0,31250.0,0.5393634840871022,0.020608
2144,Cumberland,5510.0,5510.0,31250.0,1.0,0.17632
2145,Cumberland,8358.0,11997.0,31250.0,0.6966741685421355,0.267456
2145,Parramatta,3639.0,11997.0,42559.0,0.30332583145786446,0.08550482859089734
2146,Blacktown,568.0,2099.0,41876.0,0.27060505002382085,0.013563855191517815
2146,Cumberland,551.0,2099.0,31250.0,0.2625059552167699,0.017632
2146,Parramatta,980.0,2099.0,42559.0,0.46688899475940926,0.023026856834042153
2147,Blacktown,4023.0,4023.0,41876.0,1.0,0.09606934759766932
2148,Blacktown,8911.0,8911.0,41876.0,1.0,0.21279491833030853
2150,Parramatta,9665.0,9665.0,42559.0,1.0,0.22709650132756878
2151,Parramatta,3238.0,3245.0,42559.0,0.9978428351309707,0.0760826147230903
2151,The Hills,7.0,3245.0,12274.0,0.0021571648690292757,0.0005703112269838683
2152,Parramatta,1408.0,1408.0,42559.0,1.0,0.03308348410441975
2153,Parramatta,641.0,4307.0,42559.0,0.1488274901323427,0.015061444112878592
2153,The Hills,3666.0,4307.0,12274.0,0.8511725098676574,0.29868013687469447
2154,Hornsby,268.0,3057.0,12039.0,0.08766764802093556,0.022260985131655454
2154,The Hills,2789.0,3057.0,12274.0,0.9123323519790645,0.2272282874368584
2155,Blacktown,1552.0,5624.0,41876.0,0.2759601706970128,0.03706180150921769
2155,The Hills,4072.0,5624.0,12274.0,0.7240398293029872,0.3317581880397588
2156,Hornsby,9.0,335.0,12039.0,0.026865671641791045,0.00074757039621231
2156,The Hills,326.0,335.0,12274.0,0.9731343283582089,0.02656020857096301
2157,Hornsby,81.0,176.0,12039.0,0.4602272727272727,0.00672813356591079
2157,The Hills,95.0,176.0,12274.0,0.5397727272727273,0.007739938080495356
2158,Hornsby,250.0,405.0,12039.0,0.6172839506172839,0.020765844339230833
2158,The Hills,155.0,405.0,12274.0,0.38271604938271603,0.012628320026071371
2159,Hornsby,211.0,211.0,12039.0,1.0,0.017526372622310823
2160,Cumberland,5615.0,5615.0,31250.0,1.0,0.17968
2161,Cumberland,3847.0,4360.0,31250.0,0.8823394495412844,0.123104
2161,Fairfield,513.0,4360.0,23333.0,0.1176605504587156,0.021986028371833884
2162,Canterbury-Bankstown,2130.0,2223.0,44954.0,0.9581646423751687,0.04738176802954131
2162,Cumberland,93.0,2223.0,31250.0,0.04183535762483131,0.002976
2163,Canterbury-Bankstown,870.0,1720.0,44954.0,0.5058139534883721,0.019353116519108423
2163,Fairfield,850.0,1720.0,23333.0,0.4941860465116279,0.036429091844169204
2164,Cumberland,109.0,2362.0,31250.0,0.04614733276883996,0.003488
2164,Fairfield,2253.0,2362.0,23333.0,0.95385266723116,0.09655852226460378
2165,Cumberland,7.0,6492.0,31250.0,0.0010782501540357362,0.000224
2165,Fairfield,6485.0,6492.0,23333.0,0.9989217498459643,0.2779325418934556
2166,Fairfield,6658.0,6658.0,23333.0,1.0,0.2853469335276218
2167,Campbelltown (NSW),1094.0,1094.0,19606.0,1.0,0.05579924512904213
2168,Liverpool,5142.0,5142.0,24568.0,1.0,0.209296646043634
2170,Fairfield,1013.0,14753.0,23333.0,0.06866400054226258,0.043414905927227534
2170,Liverpool,13740.0,14753.0,24568.0,0.9313359994577374,0.559264083360469
2171,Liverpool,2010.0,2010.0,24568.0,1.0,0.08181374145229567
2172,Liverpool,119.0,140.0,24568.0,0.85,0.004843699120807555
2172,Sutherland,21.0,140.0,18692.0,0.15,0.0011234752835437621
2173,Liverpool,1330.0,1330.0,24568.0,1.0,0.054135460761966785
2174,Liverpool,1074.0,1074.0,24568.0,1.0,0.04371540214913709
2175,Fairfield,89.0,89.0,23333.0,1.0,0.0038143402048600693
2176,Fairfield,3779.0,3779.0,23333.0,1.0,0.1619594565636652
2177,Fairfield,1656.0,1656.0,23333.0,1.0,0.07097244246346376
2178,Fairfield,37.0,229.0,23333.0,0.1615720524017467,0.00158573693909913
2178,Liverpool,139.0,229.0,24568.0,0.6069868995633187,0.005657766199934875
2178,Penrith,53.0,229.0,24703.0,0.2314410480349345,0.002145488402218354
2179,Camden,628.0,1265.0,9268.0,0.4964426877470356,0.06776003452740613
2179,Liverpool,637.0,1265.0,24568.0,0.5035573122529644,0.025928036470205144
2190,Canterbury-Bankstown,2130.0,2428.0,44954.0,0.8772652388797364,0.04738176802954131
2190,Strathfield,298.0,2428.0,7335.0,0.12273476112026359,0.04062713019768235
2191,Canterbury-Bankstown,465.0,667.0,44954.0,0.697151424287856,0.010343907105040708
2191,Strathfield,202.0,667.0,7335.0,0.3028485757121439,0.027539195637355147
2192,Canterbury-Bankstown,2064.0,2064.0,44954.0,1.0,0.04591360056947102
2193,Canterbury-Bankstown,2483.0,2525.0,44954.0,0.9833663366336634,0.05523423944476576
2193,Inner West,42.0,2525.0,32785.0,0.016633663366336635,0.0012810736617355498
2194,Canterbury-Bankstown,4822.0,4822.0,44954.0,1.0,0.10726520443119633
2195,Canterbury-Bankstown,4578.0,4578.0,44954.0,1.0,0.10183743382123948
2196,Canterbury-Bankstown,3566.0,3566.0,44954.0,1.0,0.07932553276682831
2197,Canterbury-Bankstown,919.0,919.0,44954.0,1.0,0.020443119633403034
2198,Canterbury-Bankstown,526.0,526.0,44954.0,1.0,0.01170084975752992
2199,Canterbury-Bankstown,2154.0,2154.0,44954.0,1.0,0.047915647105930506
2200,Canterbury-Bankstown,6579.0,6579.0,44954.0,1.0,0.14634960181518886
2203,Inner West,2782.0,2782.0,32785.0,1.0,0.08485587921305475
2204,Inner West,4983.0,4983.0,32785.0,1.0,0.15199023943876772
2205,Bayside (NSW),4945.0,4945.0,27576.0,1.0,0.17932259936176384
2206,Canterbury-Bankstown,1408.0,1408.0,44954.0,1.0,0.03132090581483294
2207,Bayside (NSW),2377.0,2377.0,27576.0,1.0,0.08619814331302582
2208,Bayside (NSW),250.0,1118.0,27576.0,0.22361359570661896,0.009065854366115463
2208,Canterbury-Bankstown,498.0,1118.0,44954.0,0.44543828264758495,0.011077990835075855
2208,Georges River,370.0,1118.0,17566.0,0.33094812164579607,0.021063417966526245
2209,Canterbury-Bankstown,784.0,1921.0,44954.0,0.4081207704320666,0.017440049828713795
2209,Georges River,1137.0,1921.0,17566.0,0.5918792295679334,0.06472731412956849
2210,Canterbury-Bankstown,1766.0,4024.0,44954.0,0.4388667992047714,0.03928460203763848
2210,Georges River,2258.0,4024.0,17566.0,0.5611332007952287,0.12854377775247638
2211,Canterbury-Bankstown,1736.0,1736.0,44954.0,1.0,0.03861725319215198
2212,Canterbury-Bankstown,1920.0,1920.0,44954.0,1.0,0.04271032611113583
2213,Canterbury-Bankstown,2061.0,2061.0,44954.0,1.0,0.04584686568492236
2214,Canterbury-Bankstown,142.0,142.0,44954.0,1.0,0.003158784535302754
2216,Bayside (NSW),4485.0,4485.0,27576.0,1.0,0.1626414273281114
2217,Bayside (NSW),2633.0,4267.0,27576.0,0.6170611670963206,0.09548157818392805
2217,Georges River,1634.0,4267.0,17566.0,0.3829388329036794,0.0930206079927132
2218,Bayside (NSW),457.0,2374.0,27576.0,0.19250210614995789,0.016572381781259065
2218,Georges River,1917.0,2374.0,17566.0,0.8074978938500421,0.10913127632927246
2219,Bayside (NSW),1362.0,1519.0,27576.0,0.8966425279789335,0.04939077458659704
2219,Georges River,157.0,1519.0,17566.0,0.10335747202106649,0.008937720596607081
2220,Georges River,5158.0,5158.0,17566.0,1.0,0.2936354320847091
2221,Georges River,1017.0,1017.0,17566.0,1.0,0.057895935329614026
2222,Georges River,1697.0,1697.0,17566.0,1.0,0.09660708186268929
2223,Georges River,2221.0,2221.0,17566.0,1.0,0.12643743595582374
2224,Sutherland,989.0,989.0,18692.0,1.0,0.0529103359726086
2225,Sutherland,147.0,147.0,18692.0,1.0,0.007864326984806335
2226,Sutherland,912.0,912.0,18692.0,1.0,0.04879092659961481
2227,Sutherland,1217.0,1217.0,18692.0,1.0,0.06510806762251231
2228,Sutherland,2505.0,2505.0,18692.0,1.0,0.13401455167986304
