Postcode,Commonwealth Electorate,Rented Households,Postcode Totals,Commonwealth Electorate Totals,Postcode Fraction,Commonwealth Electorate Fraction,POA_NAME_2016,CED_NAME_2016,POA_2016_2021_RATIO,CED_2016_2021_RATIO
2575,Whitlam,804,1083,13020,0.7423822714681441,0.06175115207373272,2575,Whitlam,1.0,0.9995603
2576,Whitlam,904,904,13020,1.0,0.06943164362519201,2576,Whitlam,1.0,0.9995603
2577,Whitlam,1099,1215,13020,0.9045267489711935,0.08440860215053764,2577,Whitlam,1.0,0.9995603
2577,Gilmore,67,1215,13781,0.0551440329218107,0.0048617661998403595,2577,Gilmore,1.0,1.0
2577,Hume,49,1215,9526,0.040329218106995884,0.005143816922107915,2577,Hume,1.0,0.9982563
2578,Hume,132,132,9526,1.0,0.013856812933025405,2578,Hume,1.0,0.9982563
2579,Whitlam,4,207,13020,0.01932367149758454,0.00030721966205837174,2579,Whitlam,1.0,0.9995603
2579,Hume,203,207,9526,0.9806763285024155,0.02131009867730422,2579,Hume,1.0,0.9982563
2580,Hume,2994,3002,9526,0.9973351099267155,0.31429771152634894,2580,Hume,1.0,0.9982563
2580,Eden-Monaro,8,3002,13534,0.002664890073284477,0.0005911038865080538,2580,Eden-Monaro,1.0,0.9999922
2581,Hume,92,98,9526,0.9387755102040817,0.009657778710896493,2581,Hume,1.0,0.9982563
2581,Eden-Monaro,6,98,13534,0.061224489795918366,0.0004433279148810403,2581,Eden-Monaro,1.0,0.9999922
2582,Eden-Monaro,740,740,13534,1.0,0.054677109501994975,2582,Eden-Monaro,1.0,0.9999922
2583,Hume,258,258,9526,1.0,0.027083770732731473,2583,Hume,1.0,0.9982563
2584,Eden-Monaro,41,41,13534,1.0,0.0030294074183537757,2584,Eden-Monaro,1.0,0.9999922
2585,Riverina,17,17,15491,1.0,0.0010974114001678394,2585,Riverina,1.0,0.9995331
2586,Riverina,21,187,15491,0.11229946524064172,0.0013556258472661546,2586,Riverina,1.0,0.9995331
