,Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
693,2114,Ryde,4037.0,4158.0,17598.0,0.9708994708994709,0.22940106830321627
632,2115,Parramatta,1847.0,1847.0,26901.0,1.0,0.06865915765213189
633,2116,Parramatta,1061.0,1061.0,26901.0,1.0,0.03944091297721274
284,2117,Epping,2311.0,2754.0,10257.0,0.8391430646332607,0.22530954470117967
634,2117,Parramatta,443.0,2754.0,26901.0,0.16085693536673928,0.016467789301512954
285,2118,Epping,2843.0,2987.0,10257.0,0.9517910947438902,0.277176562347665
694,2118,Ryde,144.0,2987.0,17598.0,0.04820890525610981,0.008182748039549948
286,2119,Epping,648.0,648.0,10257.0,1.0,0.06317636735887687
287,2120,Epping,9.0,1415.0,10257.0,0.0063604240282685515,0.0008774495466510676
356,2120,Hornsby,93.0,1415.0,6643.0,0.0657243816254417,0.01399969893120578
812,2120,Wahroonga,1313.0,1415.0,7185.0,0.9279151943462898,0.18274182324286709
288,2121,Epping,3956.0,4529.0,10257.0,0.8734820048575844,0.3856878229501804
695,2121,Ryde,573.0,4529.0,17598.0,0.12651799514241555,0.03256051824070917
696,2122,Ryde,4322.0,4322.0,17598.0,1.0,0.24559609046482556
159,2125,Castle Hill,443.0,646.0,5850.0,0.6857585139318886,0.07572649572649573
357,2125,Hornsby,203.0,646.0,6643.0,0.3142414860681115,0.030558482613277135
358,2126,Hornsby,883.0,883.0,6643.0,1.0,0.13292187264790004
635,2127,Parramatta,5674.0,5674.0,26901.0,1.0,0.21092152708077766
636,2128,Parramatta,388.0,388.0,26901.0,1.0,0.014423255641054235
718,2130,Summer Hill,1549.0,1549.0,14347.0,1.0,0.10796682233219489
706,2131,Strathfield,321.0,4715.0,17365.0,0.06808059384941675,0.018485459257126403
719,2131,Summer Hill,4394.0,4715.0,14347.0,0.9319194061505832,0.30626611835226875
707,2132,Strathfield,1098.0,1098.0,17365.0,1.0,0.06323063633746041
708,2133,Strathfield,1205.0,1275.0,17365.0,0.9450980392156862,0.06939245608983588
720,2133,Summer Hill,70.0,1275.0,14347.0,0.054901960784313725,0.004879068794870008
709,2134,Strathfield,4015.0,4015.0,17365.0,1.0,0.23121220846530377
710,2135,Strathfield,3807.0,3807.0,17365.0,1.0,0.21923409156348977
711,2136,Strathfield,911.0,911.0,17365.0,1.0,0.05246184854592571
260,2137,Drummoyne,3373.0,3373.0,12670.0,1.0,0.26621941594317283
261,2138,Drummoyne,3796.0,3796.0,12670.0,1.0,0.2996053670086819
262,2140,Drummoyne,127.0,4492.0,12670.0,0.02827248441674087,0.010023677979479085
712,2140,Strathfield,4365.0,4492.0,17365.0,0.9717275155832591,0.2513676936366254
17,2141,Auburn,3958.0,4548.0,13807.0,0.8702726473175022,0.2866661838198015
637,2141,Parramatta,590.0,4548.0,26901.0,0.1297273526824978,0.021932270175829896
317,2142,Granville,2558.0,5019.0,15889.0,0.5096632795377565,0.1609918811756561
638,2142,Parramatta,2461.0,5019.0,26901.0,0.49033672046224347,0.09148358797070741
18,2143,Auburn,1194.0,1194.0,13807.0,1.0,0.08647787354240602
19,2144,Auburn,5510.0,5510.0,13807.0,1.0,0.39907293401897587
318,2145,Granville,3446.0,11993.0,15889.0,0.28733427832902525,0.21687960224054378
639,2145,Parramatta,2352.0,11993.0,26901.0,0.19611440006670558,0.08743169398907104
672,2145,Prospect,4911.0,11993.0,9778.0,0.40948886850662886,0.5022499488647986
839,2145,Winston Hills,1284.0,11993.0,9418.0,0.10706245309764029,0.13633467827564238
673,2146,Prospect,1121.0,2101.0,9778.0,0.5335554497858163,0.1146451217017795
840,2146,Winston Hills,980.0,2101.0,9418.0,0.46644455021418374,0.10405606285835634
674,2147,Prospect,1429.0,4020.0,9778.0,0.3554726368159204,0.14614440580895888
841,2147,Winston Hills,2591.0,4020.0,9418.0,0.6445273631840795,0.2751114886387768
124,2148,Blacktown,7123.0,8915.0,11215.0,0.7989904655075715,0.6351315202853322
675,2148,Prospect,484.0,8915.0,9778.0,0.054290521592821085,0.0494988750255676
842,2148,Winston Hills,1308.0,8915.0,9418.0,0.1467190128996074,0.13888299001911233
319,2150,Granville,222.0,9661.0,15889.0,0.022978987682434532,0.013971930266221915
640,2150,Parramatta,9439.0,9661.0,26901.0,0.9770210123175654,0.35087914947399723
289,2151,Epping,490.0,3246.0,10257.0,0.15095502156500307,0.04777225309544701
641,2151,Parramatta,2525.0,3246.0,26901.0,0.7778804682686383,0.09386268168469573
843,2151,Winston Hills,231.0,3246.0,9418.0,0.0711645101663586,0.02452750053089828
844,2152,Winston Hills,1408.0,1408.0,9418.0,1.0,0.1495009556169038
160,2153,Castle Hill,2099.0,4302.0,5850.0,0.48791259879125987,0.3588034188034188
373,2153,Kellyville,1465.0,4302.0,5755.0,0.3405392840539284,0.2545612510860122
845,2153,Winston Hills,738.0,4302.0,9418.0,0.17154811715481172,0.07836058611170099
161,2154,Castle Hill,2827.0,3051.0,5850.0,0.9265814487053425,0.48324786324786323
374,2154,Kellyville,224.0,3051.0,5755.0,0.07341855129465749,0.03892267593397046
324,2155,Hawkesbury,6.0,5624.0,6404.0,0.0010668563300142249,0.0009369144284821987
375,2155,Kellyville,4066.0,5624.0,5755.0,0.722972972972973,0.7065160729800174
680,2155,Riverstone,1552.0,5624.0,9272.0,0.2759601706970128,0.16738567730802417
162,2156,Castle Hill,326.0,335.0,5850.0,0.9731343283582089,0.055726495726495726
359,2156,Hornsby,9.0,335.0,6643.0,0.026865671641791045,0.0013548095739876562
325,2157,Hawkesbury,95.0,176.0,6404.0,0.5397727272727273,0.014834478450968145
360,2157,Hornsby,81.0,176.0,6643.0,0.4602272727272727,0.012193286165888906
163,2158,Castle Hill,155.0,405.0,5850.0,0.38271604938271603,0.026495726495726495
361,2158,Hornsby,250.0,405.0,6643.0,0.6172839506172839,0.03763359927743489
362,2159,Hornsby,211.0,211.0,6643.0,1.0,0.03176275779015505
320,2160,Granville,5615.0,5615.0,15889.0,1.0,0.35338913713890113
290,2161,Fairfield,513.0,4360.0,12516.0,0.1176605504587156,0.04098753595397891
321,2161,Granville,3847.0,4360.0,15889.0,0.8823394495412844,0.24211718799169238
20,2162,Auburn,1540.0,2218.0,13807.0,0.6943192064923355,0.11153762584196422
291,2162,Fairfield,585.0,2218.0,12516.0,0.263751127141569,0.04674017257909875
322,2162,Granville,93.0,2218.0,15889.0,0.04192966636609558,0.005853105922336207
292,2163,Fairfield,1717.0,1717.0,12516.0,1.0,0.13718440396292744
293,2164,Fairfield,875.0,2367.0,12516.0,0.369666244190959,0.06991051454138703
323,2164,Granville,108.0,2367.0,15889.0,0.045627376425855515,0.006797155264648499
676,2164,Prospect,1384.0,2367.0,9778.0,0.5847063793831855,0.14154223767641644
294,2165,Fairfield,6395.0,6497.0,12516.0,0.9843004463598584,0.5109459891339087
677,2165,Prospect,102.0,6497.0,9778.0,0.015699553640141604,0.010431581100429535
141,2166,Cabramatta,5133.0,6662.0,9899.0,0.7704893425397779,0.5185372259824225
295,2166,Fairfield,1529.0,6662.0,12516.0,0.22951065746022214,0.1221636305528923
447,2167,Macquarie Fields,1094.0,1094.0,9495.0,1.0,0.11521853607161664
410,2168,Leppington,132.0,5137.0,5593.0,0.02569593147751606,0.023600929733595566
436,2168,Liverpool,5005.0,5137.0,12415.0,0.974304068522484,0.4031413612565445
142,2170,Cabramatta,841.0,14749.0,9899.0,0.05702081497050648,0.08495807657339126
346,2170,Holsworthy,6284.0,14749.0,8222.0,0.42606278391755376,0.7642909267818049
411,2170,Leppington,600.0,14749.0,5593.0,0.04068072411688928,0.1072769533345253
437,2170,Liverpool,6201.0,14749.0,12415.0,0.4204352837480507,0.49947643979057593
448,2170,Macquarie Fields,823.0,14749.0,9495.0,0.0558003932469998,0.08667719852553976
412,2171,Leppington,1604.0,2008.0,5593.0,0.798804780876494,0.286787055247631
438,2171,Liverpool,404.0,2008.0,12415.0,0.20119521912350596,0.032541280708819974
347,2172,Holsworthy,143.0,143.0,8222.0,1.0,0.017392361955728533
348,2173,Holsworthy,1330.0,1330.0,8222.0,1.0,0.1617611286791535
449,2174,Macquarie Fields,1074.0,1074.0,9495.0,1.0,0.11311216429699843
23,2175,Badgerys Creek,89.0,89.0,6448.0,1.0,0.01380272952853598
143,2176,Cabramatta,3069.0,3775.0,9899.0,0.8129801324503311,0.3100313162945752
296,2176,Fairfield,364.0,3775.0,12516.0,0.09642384105960265,0.029082774049217
678,2176,Prospect,342.0,3775.0,9778.0,0.09059602649006622,0.03497647780732256
144,2177,Cabramatta,856.0,1661.0,9899.0,0.5153521974714028,0.08647338114961108
439,2177,Liverpool,805.0,1661.0,12415.0,0.48464780252859724,0.0648409182440596
24,2178,Badgerys Creek,87.0,226.0,6448.0,0.38495575221238937,0.01349255583126551
413,2178,Leppington,139.0,226.0,5593.0,0.6150442477876106,0.024852494189165027
414,2179,Leppington,1258.0,1258.0,5593.0,1.0,0.22492401215805471
48,2190,Bankstown,2429.0,2429.0,12275.0,1.0,0.19788187372708757
713,2191,Strathfield,667.0,667.0,17365.0,1.0,0.038410596026490065
151,2192,Canterbury,2064.0,2064.0,13972.0,1.0,0.14772401946750643
152,2193,Canterbury,1751.0,2523.0,13972.0,0.6940150614347999,0.1253220727168623
714,2193,Strathfield,3.0,2523.0,17365.0,0.0011890606420927466,0.00017276130146847107
721,2193,Summer Hill,769.0,2523.0,14347.0,0.3047958779231074,0.053600055760786226
153,2194,Canterbury,3846.0,4819.0,13972.0,0.798090890226188,0.27526481534497566
715,2194,Strathfield,973.0,4819.0,17365.0,0.201909109773812,0.056032248776274114
49,2195,Bankstown,1011.0,4578.0,12275.0,0.22083879423328964,0.08236252545824847
154,2195,Canterbury,3567.0,4578.0,13972.0,0.7791612057667103,0.2552963068995133
50,2196,Bankstown,2779.0,3561.0,12275.0,0.7803987643920247,0.22639511201629328
155,2196,Canterbury,782.0,3561.0,13972.0,0.2196012356079753,0.05596908101918122
21,2197,Auburn,497.0,915.0,13807.0,0.5431693989071038,0.03599623379445209
