Postcode,GCCSA,Rented Households,Postcode Totals,GCCSA Totals,Postcode Fraction,GCCSA Fraction,POA_NAME_2016,GCCSA_NAME_2016,POA_2016_2021_RATIO,GCCSA_2016_2021_RATIO
2101,Greater Sydney,1818,1818,547460,1.0,0.003320790560040916,2101,Greater Sydney,0.9961361,0.999999
2102,Greater Sydney,428,428,547460,1.0,0.0007817922770613379,2102,Greater Sydney,0.9994652,0.999999
2103,Greater Sydney,808,808,547460,1.0,0.0014759069155737404,2103,Greater Sydney,0.9884982,0.999999
2104,Greater Sydney,94,94,547460,1.0,0.0001717020421583312,2104,Greater Sydney,1.0,0.999999
2105,Greater Sydney,66,66,547460,1.0,0.00012055675300478574,2105,Greater Sydney,1.0,0.999999
2106,Greater Sydney,712,712,547460,1.0,0.0013005516384758703,2106,Greater Sydney,1.0,0.999999
2107,Greater Sydney,667,667,547460,1.0,0.0012183538523362438,2107,Greater Sydney,1.0,0.999999
2108,Greater Sydney,119,119,547460,1.0,0.00021736747890256823,2108,Greater Sydney,1.0,0.999999
2110,Greater Sydney,670,670,547460,1.0,0.0012238337047455522,2110,Greater Sydney,1.0,0.999999
2111,Greater Sydney,1808,1808,547460,1.0,0.0033025243853432216,2111,Greater Sydney,1.0,0.999999
2112,Greater Sydney,4243,4243,547460,1.0,0.0077503379242319075,2112,Greater Sydney,0.9999997,0.999999
2113,Greater Sydney,586,586,547460,1.0,0.0010703978372849157,2109,Greater Sydney,1.0,0.999999
2113,Greater Sydney,2381,2381,547460,1.0,0.004349176195521134,2113,Greater Sydney,1.0,0.999999
2114,Greater Sydney,3668,3668,547460,1.0,0.006700032879114456,2114,Greater Sydney,1.0,0.999999
2115,Greater Sydney,1370,1370,547460,1.0,0.002502465933584189,2115,Greater Sydney,1.0,0.999999
2116,Greater Sydney,843,843,547460,1.0,0.0015398385270156724,2116,Greater Sydney,0.9894173,0.999999
2117,Greater Sydney,2540,2540,547460,1.0,0.004639608373214482,2117,Greater Sydney,0.9964627,0.999999
2118,Greater Sydney,2046,2046,547460,1.0,0.003737259343148358,2118,Greater Sydney,1.0,0.999999
2119,Greater Sydney,404,404,547460,1.0,0.0007379534577868702,2119,Greater Sydney,1.0,0.999999
2120,Greater Sydney,1090,1090,547460,1.0,0.001991013042048734,2120,Greater Sydney,1.0,0.999999
2121,Greater Sydney,2752,2752,547460,1.0,0.005026851276805611,2121,Greater Sydney,1.0,0.999999
2122,Greater Sydney,3847,3847,547460,1.0,0.007026997406203193,2122,Greater Sydney,1.0,0.999999
2125,Greater Sydney,547,547,547460,1.0,0.000999159755963906,2125,Greater Sydney,1.0,0.999999
2126,Greater Sydney,799,799,547460,1.0,0.0014594673583458151,2126,Greater Sydney,1.0,0.999999
2127,Greater Sydney,2864,2864,547460,1.0,0.005231432433419793,2127,Greater Sydney,0.9999997,0.999999
2128,Greater Sydney,348,348,547460,1.0,0.0006356628794797793,2128,Greater Sydney,1.0,0.999999
2130,Greater Sydney,1476,1476,547460,1.0,0.002696087385379754,2130,Greater Sydney,1.0,0.999999
2131,Greater Sydney,4341,4341,547460,1.0,0.007929346436269316,2131,Greater Sydney,1.0,0.999999
2132,Greater Sydney,982,982,547460,1.0,0.0017937383553136303,2132,Greater Sydney,1.0,0.999999
2133,Greater Sydney,1218,1218,547460,1.0,0.0022248200781792276,2133,Greater Sydney,1.0,0.999999
2134,Greater Sydney,2816,2816,547460,1.0,0.005143754794870858,2134,Greater Sydney,1.0,0.999999
2135,Greater Sydney,3147,3147,547460,1.0,0.005748365177364556,2135,Greater Sydney,1.0,0.999999
2136,Greater Sydney,732,732,547460,1.0,0.00133708398787126,2136,Greater Sydney,1.0,0.999999
2137,Greater Sydney,2747,2747,547460,1.0,0.005017718189456764,2137,Greater Sydney,1.0,0.999999
2138,Greater Sydney,3490,3490,547460,1.0,0.006374894969495488,2138,Greater Sydney,1.0,0.999999
2138,Greater Sydney,4,4,547460,1.0,7.306469879077924e-06,2139,Greater Sydney,1.0,0.999999
2140,Greater Sydney,2834,2834,547460,1.0,0.0051766339093267085,2140,Greater Sydney,1.0,0.999999
2141,Greater Sydney,3305,3305,547460,1.0,0.006036970737588135,2141,Greater Sydney,0.9997959,0.999999
2142,Greater Sydney,4196,4196,547460,1.0,0.007664486903152742,2142,Greater Sydney,0.9924219,0.999999
2143,Greater Sydney,999,999,547460,1.0,0.0018247908522997115,2143,Greater Sydney,1.0,0.999999
2144,Greater Sydney,4564,4564,547460,1.0,0.008336682132027911,2144,Greater Sydney,1.0,0.999999
2145,Greater Sydney,9363,9363,547460,1.0,0.01710261936945165,2145,Greater Sydney,1.0,0.999999
2146,Greater Sydney,1535,1535,547460,1.0,0.002803857816096153,2146,Greater Sydney,1.0,0.999999
2147,Greater Sydney,3391,3391,547460,1.0,0.00619405983998831,2147,Greater Sydney,1.0,0.999999
2148,Greater Sydney,7258,7258,547460,1.0,0.013257589595586892,2148,Greater Sydney,0.9999038,0.999999
2150,Greater Sydney,7475,7475,547460,1.0,0.01365396558652687,2150,Greater Sydney,1.0,0.999999
2151,Greater Sydney,2866,2866,547460,1.0,0.005235085668359332,2151,Greater Sydney,1.0,0.999999
2152,Greater Sydney,1385,1385,547460,1.0,0.002529865195630731,2152,Greater Sydney,1.0,0.999999
2153,Greater Sydney,3104,3104,547460,1.0,0.005669820626164468,2153,Greater Sydney,1.0,0.999999
2154,Greater Sydney,2453,2453,547460,1.0,0.004480692653344537,2154,Greater Sydney,1.0,0.999999
2155,Greater Sydney,2815,2815,547460,1.0,0.005141928177401089,2155,Greater Sydney,0.9896648,0.999999
2156,Greater Sydney,290,290,547460,1.0,0.0005297190662331495,2156,Greater Sydney,1.0,0.999999
2157,Greater Sydney,152,152,547460,1.0,0.0002776458554049611,2157,Greater Sydney,1.0,0.999999
2158,Greater Sydney,344,344,547460,1.0,0.0006283564096007014,2158,Greater Sydney,1.0,0.999999
2159,Greater Sydney,200,200,547460,1.0,0.00036532349395389615,2159,Greater Sydney,1.0,0.999999
2160,Greater Sydney,4822,4822,547460,1.0,0.008807949439228437,2160,Greater Sydney,0.9985917,0.999999
2161,Greater Sydney,3610,3610,547460,1.0,0.006594089065867826,2161,Greater Sydney,0.9999041,0.999999
