SA1,LGA,Rented Households,LGA Totals,SA1 Totals,SA1 Fraction,LGA Fraction
10201103108,Central Coast (NSW),15,36415,15,1.0,0.00041191816559110257
10201103109,Central Coast (NSW),15,36415,15,1.0,0.00041191816559110257
10201103110,Central Coast (NSW),41,36415,41,1.0,0.0011259096526156803
10201103111,Central Coast (NSW),40,36415,40,1.0,0.0010984484415762735
10201103112,Central Coast (NSW),4,36415,4,1.0,0.00010984484415762735
10201103114,Central Coast (NSW),7,36415,7,1.0,0.00019222847727584787
10201103115,Central Coast (NSW),9,36415,9,1.0,0.00024715089935466156
10201103116,Central Coast (NSW),20,36415,20,1.0,0.0005492242207881368
10201103117,Central Coast (NSW),26,36415,26,1.0,0.0007139914870245778
10201103118,Central Coast (NSW),9,36415,9,1.0,0.00024715089935466156
10201103119,Central Coast (NSW),21,36415,21,1.0,0.0005766854318275436
10201103120,Central Coast (NSW),18,36415,18,1.0,0.0004943017987093231
10201103121,Central Coast (NSW),16,36415,16,1.0,0.0004393793766305094
10201103122,Central Coast (NSW),27,36415,27,1.0,0.0007414526980639846
10201103123,Central Coast (NSW),107,36415,107,1.0,0.0029383495812165318
