SA1_CODE21,LGA_NAME22
10105153911,Goulburn Mulwaree
10105153912,Goulburn Mulwaree
10105153913,Goulburn Mulwaree
10105153914,Goulburn Mulwaree
10105153915,Goulburn Mulwaree
10105153916,Goulburn Mulwaree
10105153917,Goulburn Mulwaree
10105153918,Goulburn Mulwaree
10105153919,Goulburn Mulwaree
10105153920,Goulburn Mulwaree
10105153921,Goulburn Mulwaree
10105153922,Goulburn Mulwaree
10105153923,Goulburn Mulwaree
10105153924,Goulburn Mulwaree
10105153925,Goulburn Mulwaree
10105153926,Goulburn Mulwaree
10105153927,Goulburn Mulwaree
10105153928,Goulburn Mulwaree
10105153929,Goulburn Mulwaree
10105153930,Goulburn Mulwaree
10105153931,Goulburn Mulwaree
10105153932,Goulburn Mulwaree
10105153933,Goulburn Mulwaree
10105153934,Goulburn Mulwaree
10105153935,Goulburn Mulwaree
10105153936,Goulburn Mulwaree
10105153937,Goulburn Mulwaree
10105153938,Goulburn Mulwaree
10105153939,Goulburn Mulwaree
10105153940,Goulburn Mulwaree
10105153941,Goulburn Mulwaree
10105153942,Goulburn Mulwaree
10105153943,Goulburn Mulwaree
10105153944,Goulburn Mulwaree
10105153945,Goulburn Mulwaree
10105153946,Goulburn Mulwaree
10105153947,Goulburn Mulwaree
10105153948,Goulburn Mulwaree
10105153949,Goulburn Mulwaree
10105153950,Goulburn Mulwaree
10105153951,Goulburn Mulwaree
10105153952,Goulburn Mulwaree
10105153953,Goulburn Mulwaree
10105153954,Goulburn Mulwaree
10105153955,Goulburn Mulwaree
10105153956,Goulburn Mulwaree
10105153957,Goulburn Mulwaree
10105153958,Goulburn Mulwaree
10105153959,Goulburn Mulwaree
10105153960,Goulburn Mulwaree
10105153961,Goulburn Mulwaree
10105153962,Goulburn Mulwaree
10105153963,Goulburn Mulwaree
10105153964,Goulburn Mulwaree
10105153965,Goulburn Mulwaree
10105153966,Goulburn Mulwaree
10105153967,Goulburn Mulwaree
10105153968,Goulburn Mulwaree
10105153969,Goulburn Mulwaree
10105153970,Goulburn Mulwaree
10105154001,Goulburn Mulwaree
10105154002,Goulburn Mulwaree
10105154003,Upper Lachlan
10105154004,Goulburn Mulwaree
10105154005,Upper Lachlan
10105154006,Upper Lachlan
10105154007,Goulburn Mulwaree
10105154007,Upper Lachlan
10105154008,Upper Lachlan
10105154009,Upper Lachlan
10105154010,Upper Lachlan
10105154011,Upper Lachlan
10105154012,Goulburn Mulwaree
10105154014,Upper Lachlan
10105154015,Upper Lachlan
10105154016,Goulburn Mulwaree
10105154017,Upper Lachlan
10105154018,Oberon
10105154018,Upper Lachlan
10105154018,Wingecarribee
10105154019,Upper Lachlan
10105154020,Goulburn Mulwaree
10105154021,Upper Lachlan
10105154022,Goulburn Mulwaree
10105154022,Wingecarribee
10105154023,Goulburn Mulwaree
10105154023,Upper Lachlan
10105154024,Upper Lachlan
10105154025,Goulburn Mulwaree
10105154026,Upper Lachlan
10105154027,Goulburn Mulwaree
10105154028,Goulburn Mulwaree
10105154028,Upper Lachlan
10105154029,Goulburn Mulwaree
10105154030,Upper Lachlan
10105154031,Upper Lachlan
10105154032,Goulburn Mulwaree
10105154033,Goulburn Mulwaree
10105154034,Queanbeyan-Palerang
10105154034,Upper Lachlan
10105154034,Yass Valley
10105154035,Upper Lachlan
10106154101,Yass Valley
10106154102,Yass Valley
10106154103,Yass Valley
10106154104,Yass Valley
10106154105,Yass Valley
10106154106,Yass Valley
10106154107,Yass Valley
10106154108,Yass Valley
10106154109,Yass Valley
10106154111,Yass Valley
10106154112,Yass Valley
10106154113,Yass Valley
10106154115,Yass Valley
10106154116,Yass Valley
10106154117,Yass Valley
10106154118,Yass Valley
10106154201,Snowy Valleys
10106154201,Yass Valley
10106154202,Yass Valley
10106154203,Yass Valley
10106154204,Hilltops
10106154206,Hilltops
10106154207,Upper Lachlan
10106154208,Yass Valley
10106154209,Yass Valley
10106154210,Yass Valley
10106154211,Yass Valley
10106154212,Yass Valley
10106154213,Yass Valley
10106154215,Yass Valley
10106154216,Yass Valley
10106154217,Yass Valley
10106154219,Yass Valley
10106154220,Upper Lachlan
10106154222,Yass Valley
10106154223,Yass Valley
10106154224,Yass Valley
10106154226,Yass Valley
10106154227,Yass Valley
10106154228,Yass Valley
10106154229,Upper Lachlan
10106154231,Yass Valley
10106154232,Yass Valley
10106154233,Yass Valley
10106154234,Yass Valley
10106154235,Yass Valley
10106154236,Yass Valley
10106154237,Yass Valley
10106154238,Upper Lachlan
10106154239,Yass Valley
10106154240,Upper Lachlan
10106154240,Yass Valley
10106154241,Yass Valley
10106154242,Yass Valley
10106154243,Yass Valley
10106154301,Hilltops
10106154302,Hilltops
10106154303,Hilltops
10106154304,Hilltops
10106154305,Hilltops
10106154306,Hilltops
10106154307,Hilltops
10106154308,Hilltops
10106154309,Hilltops
10106154310,Hilltops
10106154311,Hilltops
10106154312,Hilltops
10106154313,Hilltops
10106154314,Hilltops
10106154315,Hilltops
10106154316,Hilltops
10106154317,Hilltops
10106154318,Hilltops
10106154319,Hilltops
10106154320,Hilltops
10106154321,Hilltops
10106154322,Hilltops
10106154323,Hilltops
10106154324,Hilltops
10106154325,Hilltops
10106154326,Hilltops
10106154327,Hilltops
10106154328,Hilltops
10106154329,Hilltops
10106154330,Hilltops
10106154401,Hilltops
10106154402,Hilltops
10106154403,Hilltops
10106154404,Hilltops
10106154405,Hilltops
10106154406,Hilltops
10106154408,Hilltops
10106154408,Upper Lachlan
10106154409,Hilltops
10106154410,Hilltops
10106154411,Hilltops
10106154412,Hilltops
10106154413,Hilltops
10106154414,Hilltops
10106154415,Hilltops
10106154416,Hilltops
10106154417,Hilltops
10106154418,Hilltops
10106154419,Hilltops
10106154420,Hilltops
10106154421,Hilltops
10106154422,Hilltops
10106154423,Hilltops
10201102801,Central Coast (NSW)
10201102802,Central Coast (NSW)
10201102803,Central Coast (NSW)
10201102804,Central Coast (NSW)
10201102805,Central Coast (NSW)
10201102806,Central Coast (NSW)
10201102807,Central Coast (NSW)
10201102808,Central Coast (NSW)
10201102809,Central Coast (NSW)
10201102810,Central Coast (NSW)
10201102811,Central Coast (NSW)
10201102812,Central Coast (NSW)
10201102813,Central Coast (NSW)
10201102814,Central Coast (NSW)
10201102815,Central Coast (NSW)
10201102816,Central Coast (NSW)
10201102817,Central Coast (NSW)
10201102818,Central Coast (NSW)
10201102901,Central Coast (NSW)
10201102902,Central Coast (NSW)
10201102903,Central Coast (NSW)
10201102904,Central Coast (NSW)
10201102905,Central Coast (NSW)
10201102906,Central Coast (NSW)
10201102907,Central Coast (NSW)
10201102908,Central Coast (NSW)
10201102909,Central Coast (NSW)
10201102910,Central Coast (NSW)
10201102911,Central Coast (NSW)
10201102912,Central Coast (NSW)
10201102913,Central Coast (NSW)
10201102914,Central Coast (NSW)
10201102915,Central Coast (NSW)
10201102916,Central Coast (NSW)
10201102917,Central Coast (NSW)
10201102918,Central Coast (NSW)
10201102919,Central Coast (NSW)
10201102920,Central Coast (NSW)
10201102921,Central Coast (NSW)
10201102922,Central Coast (NSW)
10201102923,Central Coast (NSW)
10201102924,Central Coast (NSW)
10201102925,Central Coast (NSW)
10201102926,Central Coast (NSW)
10201102927,Central Coast (NSW)
10201102928,Central Coast (NSW)
10201103002,Central Coast (NSW)
10201103003,Central Coast (NSW)
10201103004,Central Coast (NSW)
10201103005,Central Coast (NSW)
10201103006,Central Coast (NSW)
10201103007,Central Coast (NSW)
10201103008,Central Coast (NSW)
10201103009,Central Coast (NSW)
10201103010,Central Coast (NSW)
10201103011,Central Coast (NSW)
10201103012,Central Coast (NSW)
10201103013,Central Coast (NSW)
10201103014,Central Coast (NSW)
10201103101,Central Coast (NSW)
10201103102,Central Coast (NSW)
10201103103,Central Coast (NSW)
10201103104,Central Coast (NSW)
10201103105,Central Coast (NSW)
10201103106,Central Coast (NSW)
10201103107,Central Coast (NSW)
10201103108,Central Coast (NSW)
10201103109,Central Coast (NSW)
10201103110,Central Coast (NSW)
10201103111,Central Coast (NSW)
10201103112,Central Coast (NSW)
10201103113,Central Coast (NSW)
10201103114,Central Coast (NSW)
10201103115,Central Coast (NSW)
10201103116,Central Coast (NSW)
10201103117,Central Coast (NSW)
10201103118,Central Coast (NSW)
10201103119,Central Coast (NSW)
10201103120,Central Coast (NSW)
10201103121,Central Coast (NSW)
10201103122,Central Coast (NSW)
10201103123,Central Coast (NSW)
10201103124,Central Coast (NSW)
10201103125,Central Coast (NSW)
10201103126,Central Coast (NSW)
10201103127,Central Coast (NSW)
10201103128,Central Coast (NSW)
10201103129,Central Coast (NSW)
10201103130,Central Coast (NSW)
10201103131,Central Coast (NSW)
10201103132,Central Coast (NSW)
10201103133,Central Coast (NSW)
10201103134,Central Coast (NSW)
10201103135,Central Coast (NSW)
10201103136,Central Coast (NSW)
10201103137,Central Coast (NSW)
10201103138,Central Coast (NSW)
10201103201,Central Coast (NSW)
10201103202,Central Coast (NSW)
10201103203,Central Coast (NSW)
10201103204,Central Coast (NSW)
10201103205,Central Coast (NSW)
10201103206,Central Coast (NSW)
10201103207,Central Coast (NSW)
10201103208,Central Coast (NSW)
10201103210,Central Coast (NSW)
10201103211,Central Coast (NSW)
10201103212,Central Coast (NSW)
10201103213,Central Coast (NSW)
10201103214,Central Coast (NSW)
10201103215,Central Coast (NSW)
10201103216,Central Coast (NSW)
10201103217,Central Coast (NSW)
10201103218,Central Coast (NSW)
10201103219,Central Coast (NSW)
10201103220,Central Coast (NSW)
10201103221,Central Coast (NSW)
10201103223,Central Coast (NSW)
10201103224,Central Coast (NSW)
10201103225,Central Coast (NSW)
10201103226,Central Coast (NSW)
10201103227,Central Coast (NSW)
10201103228,Central Coast (NSW)
10201103229,Central Coast (NSW)
10201103230,Central Coast (NSW)
10201103231,Central Coast (NSW)
10201103232,Central Coast (NSW)
10201103233,Central Coast (NSW)
10201103234,Central Coast (NSW)
10201103235,Central Coast (NSW)
10201103236,Central Coast (NSW)
10201103237,Central Coast (NSW)
10201103238,Central Coast (NSW)
10201103239,Central Coast (NSW)
10201103240,Central Coast (NSW)
10201103241,Central Coast (NSW)
10201103242,Central Coast (NSW)
10201103243,Central Coast (NSW)
10201103244,Central Coast (NSW)
10201103245,Central Coast (NSW)
10201103246,Central Coast (NSW)
10201103247,Central Coast (NSW)
10201103248,Central Coast (NSW)
10201103301,Central Coast (NSW)
10201103302,Central Coast (NSW)
10201103303,Central Coast (NSW)
10201103304,Central Coast (NSW)
10201103305,Central Coast (NSW)
10201103306,Central Coast (NSW)
10201103307,Central Coast (NSW)
10201103308,Central Coast (NSW)
10201103309,Central Coast (NSW)
10201103310,Central Coast (NSW)
10201103311,Central Coast (NSW)
10201103312,Central Coast (NSW)
10201103313,Central Coast (NSW)
10201103314,Central Coast (NSW)
10201103315,Central Coast (NSW)
10201103316,Central Coast (NSW)
10201103317,Central Coast (NSW)
