LGA_CODE_2016,LGA_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_2016_TO_2021
16650.0,Rockdale (C),10500,Bayside (NSW),1.0
16700.0,Ryde (C),16700,Ryde,1.0
16900.0,Shellharbour (C),16900,Shellharbour,1.0
16950.0,Shoalhaven (C),16950,Shoalhaven,1.0
17000.0,Singleton (A),17000,Singleton,1.0
17040.0,Snowy Monaro Regional (A),17040,Snowy Monaro Regional,1.0
17080.0,Snowy Valleys (A),17080,Snowy Valleys,1.0
17100.0,Strathfield (A),17100,Strathfield,1.0
17200.0,Sydney (C),17200,Sydney,1.0
17310.0,Tamworth Regional (A),17310,Tamworth Regional,1.0
17350.0,Temora (A),17350,Temora,1.0
17400.0,Tenterfield (A),17400,Tenterfield,1.0
17420.0,The Hills Shire (A),17420,The Hills Shire,1.0
17550.0,Tweed (A),17550,Tweed,1.0
17620.0,Upper Hunter Shire (A),17620,Upper Hunter Shire,1.0
17640.0,Upper Lachlan Shire (A),17640,Upper Lachlan Shire,1.0
17650.0,Uralla (A),17650,Uralla,1.0
17750.0,Wagga Wagga (C),17750,Wagga Wagga,1.0
17850.0,Walcha (A),17850,Walcha,1.0
17900.0,Walgett (A),17900,Walgett,1.0
17950.0,Warren (A),17950,Warren,1.0
18020.0,Warrumbungle Shire (A),18020,Warrumbungle Shire,1.0
18050.0,Waverley (A),18050,Waverley,1.0
18100.0,Weddin (A),18100,Weddin,1.0
18200.0,Wentworth (A),18200,Wentworth,1.0
18230.0,Western Plains Regional (A),12390,Dubbo Regional,1.0
18250.0,Willoughby (C),18250,Willoughby,1.0
18350.0,Wingecarribee (A),18350,Wingecarribee,1.0
18400.0,Wollondilly (A),18400,Wollondilly,1.0
18450.0,Wollongong (C),18450,Wollongong,1.0
18500.0,Woollahra (A),18500,Woollahra,1.0
18710.0,Yass Valley (A),18710,Yass Valley,1.0
19399.0,Unincorporated NSW,19399,Unincorporated NSW,1.0
19499.0,No usual address (NSW),19499,No usual address (NSW),1.0
19799.0,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1.0
20110.0,Alpine (S),20110,Alpine,1.0
20260.0,Ararat (RC),20260,Ararat,1.0
20570.0,Ballarat (C),20570,Ballarat,1.0
20660.0,Banyule (C),20660,Banyule,1.0
20740.0,Bass Coast (S),20740,Bass Coast,1.0
20830.0,Baw Baw (S),20830,Baw Baw,1.0
20910.0,Bayside (C),20910,Bayside (Vic.),1.0
21010.0,Benalla (RC),21010,Benalla,1.0
21110.0,Boroondara (C),21110,Boroondara,1.0
21180.0,Brimbank (C),21180,Brimbank,1.0
21270.0,Buloke (S),21270,Buloke,1.0
21370.0,Campaspe (S),21370,Campaspe,1.0
21450.0,Cardinia (S),21450,Cardinia,1.0
21610.0,Casey (C),21610,Casey,1.0
21670.0,Central Goldfields (S),21670,Central Goldfields,1.0
21750.0,Colac-Otway (S),21750,Colac Otway,1.0
21830.0,Corangamite (S),21830,Corangamite,1.0
21890.0,Darebin (C),21890,Darebin,1.0
22110.0,East Gippsland (S),22110,East Gippsland,1.0
22170.0,Frankston (C),22170,Frankston,1.0
22250.0,Gannawarra (S),22250,Gannawarra,1.0
22310.0,Glen Eira (C),22310,Glen Eira,1.0
22410.0,Glenelg (S),22410,Glenelg,1.0
22490.0,Golden Plains (S),22490,Golden Plains,1.0
22620.0,Greater Bendigo (C),22620,Greater Bendigo,1.0
22670.0,Greater Dandenong (C),22670,Greater Dandenong,1.0
22750.0,Greater Geelong (C),22750,Greater Geelong,1.0
22830.0,Greater Shepparton (C),22830,Greater Shepparton,1.0
22910.0,Hepburn (S),22910,Hepburn,1.0
22980.0,Hindmarsh (S),22980,Hindmarsh,1.0
23110.0,Hobsons Bay (C),23110,Hobsons Bay,1.0
23190.0,Horsham (RC),23190,Horsham,1.0
23270.0,Hume (C),23270,Hume,1.0
23350.0,Indigo (S),23350,Indigo,1.0
23430.0,Kingston (C) (Vic.),23430,Kingston (Vic.),1.0
23670.0,Knox (C),23670,Knox,1.0
23810.0,Latrobe (C) (Vic.),23810,Latrobe (Vic.),1.0
23940.0,Loddon (S),23940,Loddon,1.0
24130.0,Macedon Ranges (S),24130,Macedon Ranges,1.0
24210.0,Manningham (C),24210,Manningham,1.0
24250.0,Mansfield (S),24250,Mansfield,1.0
24330.0,Maribyrnong (C),24330,Maribyrnong,1.0
24410.0,Maroondah (C),24410,Maroondah,1.0
24600.0,Melbourne (C),24600,Melbourne,1.0
24650.0,Melton (C),24650,Melton,1.0
24780.0,Mildura (RC),24780,Mildura,1.0
24850.0,Mitchell (S),24850,Mitchell,1.0
24900.0,Moira (S),24900,Moira,1.0
24970.0,Monash (C),24970,Monash,1.0
25060.0,Moonee Valley (C),25060,Moonee Valley,1.0
25150.0,Moorabool (S),25150,Moorabool,1.0
