SA4 Code 2021,SA4 Name,LGA Code 2021,LGA,State,Gcc Name21,LGA Area (sq km),SA4 Area (sq km),Row Number
115,Sydney - Baulkham Hills and Hawkesbury,17000,Singleton,New South Wales,Greater Sydney,4892.7168,3251.4981,226
115,Sydney - Baulkham Hills and Hawkesbury,17420,The Hills Shire,New South Wales,Greater Sydney,386.1583,3251.4981,227
116,Sydney - Blacktown,10750,Blacktown,New South Wales,Greater Sydney,238.8471,240.8835,228
116,Sydney - Blacktown,12380,Cumberland,New South Wales,Greater Sydney,72.7496,240.8835,229
116,Sydney - Blacktown,12850,Fairfield,New South Wales,Greater Sydney,101.5072,240.8835,230
116,Sydney - Blacktown,13800,Hawkesbury,New South Wales,Greater Sydney,2775.1378,240.8835,231
116,Sydney - Blacktown,16260,Parramatta,New South Wales,Greater Sydney,83.8303,240.8835,232
116,Sydney - Blacktown,16350,Penrith,New South Wales,Greater Sydney,404.7021,240.8835,233
116,Sydney - Blacktown,17420,The Hills Shire,New South Wales,Greater Sydney,386.1583,240.8835,234
117,Sydney - City and Inner South,10500,Bayside (NSW),New South Wales,Greater Sydney,50.6204,66.1035,235
117,Sydney - City and Inner South,11570,Canterbury-Bankstown,New South Wales,Greater Sydney,110.2374,66.1035,236
117,Sydney - City and Inner South,14170,Inner West,New South Wales,Greater Sydney,35.2115,66.1035,237
117,Sydney - City and Inner South,16550,Randwick,New South Wales,Greater Sydney,36.331,66.1035,238
117,Sydney - City and Inner South,17200,Sydney,New South Wales,Greater Sydney,26.6762,66.1035,239
117,Sydney - City and Inner South,18500,Woollahra,New South Wales,Greater Sydney,12.2584,66.1035,240
117,Sydney - City and Inner South,19399,Unincorporated NSW,New South Wales,Greater Sydney,93208.9194,66.1035,241
118,Sydney - Eastern Suburbs,10500,Bayside (NSW),New South Wales,Greater Sydney,50.6204,57.7342,242
118,Sydney - Eastern Suburbs,16550,Randwick,New South Wales,Greater Sydney,36.331,57.7342,243
118,Sydney - Eastern Suburbs,17200,Sydney,New South Wales,Greater Sydney,26.6762,57.7342,244
118,Sydney - Eastern Suburbs,18050,Waverley,New South Wales,Greater Sydney,9.3506,57.7342,245
118,Sydney - Eastern Suburbs,18500,Woollahra,New South Wales,Greater Sydney,12.2584,57.7342,246
118,Sydney - Eastern Suburbs,19399,Unincorporated NSW,New South Wales,Greater Sydney,93208.9194,57.7342,247
119,Sydney - Inner South West,10500,Bayside (NSW),New South Wales,Greater Sydney,50.6204,163.9272,248
119,Sydney - Inner South West,11300,Burwood,New South Wales,Greater Sydney,7.1282,163.9272,249
119,Sydney - Inner South West,11570,Canterbury-Bankstown,New South Wales,Greater Sydney,110.2374,163.9272,250
119,Sydney - Inner South West,12380,Cumberland,New South Wales,Greater Sydney,72.7496,163.9272,251
119,Sydney - Inner South West,12850,Fairfield,New South Wales,Greater Sydney,101.5072,163.9272,252
119,Sydney - Inner South West,12930,Georges River,New South Wales,Greater Sydney,38.3375,163.9272,253
119,Sydney - Inner South West,14170,Inner West,New South Wales,Greater Sydney,35.2115,163.9272,254
119,Sydney - Inner South West,14900,Liverpool,New South Wales,Greater Sydney,305.7401,163.9272,255
119,Sydney - Inner South West,17100,Strathfield,New South Wales,Greater Sydney,14.0008,163.9272,256
119,Sydney - Inner South West,17150,Sutherland Shire,New South Wales,Greater Sydney,333.5806,163.9272,257
120,Sydney - Inner West,11300,Burwood,New South Wales,Greater Sydney,7.1282,64.5491,258
120,Sydney - Inner West,11520,Canada Bay,New South Wales,Greater Sydney,19.9239,64.5491,259
