SED_CODE_2016,SED_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_2016_TO_2021
40012.0,Enfield,40013,Enfield,0.5494255
40047.0,Wright,40026,King,0.5485726
40038.0,Ramsay,40038,Ramsay,0.5467479
40034.0,Napier,40012,Elizabeth,0.5328969
30075.0,Southport,30078,Southport,0.5240347
30056.0,Mount Coot-tha,30048,Maiwar,0.5169029
40041.0,Stuart (SA),40041,Stuart,0.504576
40037.0,Port Adelaide,40037,Port Adelaide,0.4897216
40011.0,Elder,40011,Elder,0.4591001
30046.0,Logan,30044,Logan,0.4378293
30025.0,Coomera,30022,Coomera,0.4195376
40027.0,Little Para,40012,Elizabeth,0.4181121
30001.0,Albert,30083,Theodore,0.4101106
40045.0,Waite,40011,Elder,0.4073572
40042.0,Taylor,40038,Ramsay,0.3854852
40016.0,Florey,40035,Newland,0.3829484
40030.0,Mitchell,40018,Gibson,0.3532909
